"ITEM TO CHECK","IMPORTANCE","CHECKLIST"
"EXPERIMENTAL DESIGN",,
"Definition of experimental and control  groups","E","√"
"Number within each group","E","√"
"Assay carried out by core lab or investigator's lab?","D","√"
"Acknowledgement of authors' contributions ","D","√"
"SAMPLE",,
"Description","E","√"
"     Volume/mass of sample processed","D","√"
"    Microdissection or macrodissection","E","NA (No dissection)"
"Processing procedure","E","√"
"     If frozen - how and how quickly?","E","√"
"     If fixed - with what, how quickly?","E","NA (No fixation)"
"Sample storage conditions and duration (especially for FFPE samples)","E","√"
"NUCLEIC ACID EXTRACTION",,
"Procedure and/or instrumentation","E","√"
"     Name of kit and details of any modifications","E","√"
"     Source of additional reagents used ","D","√"
"Details of DNase or RNAse treatment","E","√"
"Contamination assessment (DNA or RNA)","E","√"
"Nucleic acid quantification ","E","√"
"     Instrument and method","E","√"
"     Purity (A260/A280) ","D","√"
"     Yield","D","√"
"RNA integrity method/instrument","E","√"
"    RIN/RQI or Cq of 3' and 5' transcripts ","E","X"
"    Electrophoresis traces","D","?"
" Inhibition testing (Cq dilutions, spike or other) ","E","√"
"REVERSE TRANSCRIPTION",,
"Complete reaction conditions","E","√"
"     Amount of RNA and reaction volume","E","√"
"    Priming oligonucleotide (if using GSP) and concentration","E","√"
"     Reverse transcriptase and concentration","E","√"
"     Temperature and time","E","√"
"     Manufacturer of reagents and catalogue numbers","D","√"
"Cqs with and without RT","D*","√"
"Storage conditions of cDNA","D","√"
"qPCR TARGET INFORMATION",,
"If multiplex, efficiency and LOD of each assay.","E","NA (Singleplex)"
"Sequence accession number","E","√"
"Location of amplicon","D","NA"
"     Amplicon length","E","√"
"     In silico specificity screen (BLAST, etc)","E","√"
"     Pseudogenes, retropseudogenes or other homologs?","D","√"
"          Sequence alignment","D","√"
"     Secondary structure analysis of amplicon","D","√"
"Location of each primer by exon or intron (if applicable)","E","NA"
"     What splice variants are targeted?","E","NA"
"qPCR OLIGONUCLEOTIDES",,
"Primer sequences","E","√"
"RTPrimerDB Identification Number ","D","X"
"Probe sequences","D**","NA"
"Location and identity of any modifications","E","NA"
"Manufacturer of oligonucleotides","D","√"
"Purification method","D","√"
"qPCR PROTOCOL",,
"Complete reaction conditions","E","√"
"     Reaction volume and amount of cDNA/DNA","E","√"
"     Primer, (probe), Mg++ and dNTP concentrations","E","√"
"     Polymerase identity and concentration ","E","√"
"     Buffer/kit identity and manufacturer ","E","√"
"     Exact chemical constitution of the buffer","D","?"
"     Additives (SYBR Green I, DMSO, etc.)","E","SYBR Green I"
"Manufacturer of plates/tubes and catalog number","D","√"
"Complete thermocycling parameters","E","√"
"Reaction setup (manual/robotic)","D","√"
"Manufacturer of qPCR instrument","E","√"
"qPCR VALIDATION",,
"Evidence of optimisation (from gradients) ","D","?"
"Specificity (gel, sequence,  melt, or digest)","E","√"
"For SYBR Green I, Cq of the NTC","E","√"
"Standard curves with slope and y-intercept","E","√"
"     PCR efficiency calculated from slope","E","√"
"     Confidence interval for PCR efficiency or standard error","D","√"
"     r2 of standard curve","E","√"
"Linear dynamic range","E","√"
"     Cq variation at lower limit","E","√"
"     Confidence intervals throughout range","D","√"
"Evidence for limit of detection ","E","√"
"If multiplex, efficiency and LOD of each assay.","E","NA (Singleplex)"
"DATA ANALYSIS",,
"qPCR analysis program (source, version)","E","√"
"     Cq method determination","E","√"
"     Outlier identification and disposition","E","NA"
"Results of NTCs ","E","√"
"Justification of number and choice of reference genes","E","NA (Only one) "
"Description of normalisation method","E","√"
"Number and concordance of biological replicates","D","√"
"Number and stage (RT or qPCR) of technical replicates","E","√"
"Repeatability (intra-assay variation)","E","√"
"Reproducibility (inter-assay variation, %CV)","D","√"
"Power analysis","D","X"
"Statistical methods for result significance","E","√"
"Software (source, version)","E","√"
"Cq or raw data submission using RDML","D","X"
"Table 1. MIQE checklist for authors, reviewers and editors. All essential information (E) must be submitted with the manuscript.  Desirable"
"information (D) should be submitted if available. If using primers obtained from RTPrimerDB, information on qPCR target, oligonucleotides,"
"protocols and validation is available from that source."
"*: Assessing the absence of DNA using a no RT assay is essential when first extracting RNA. Once the sample has been validated as"
" RDNA-free, inclusion of a no-RT control is desirable, but no longer essential."
"**: Disclosure of the probe sequence is highly desirable and strongly encouraged. However, since not all commercial pre-designed assay"
" vendors provide this information, it cannot be an essential requirement. Use of such assays is advised against."

