,"Beijing indica","Syngenta japonica"
"Reads for initial contigs",,
"all shotgun reads","6448869","7852425"
"reads of length>200","4986685","5958836"
"mean Q20 length","551.111336890138","425.373569771008"
"median Q20 length","578","455"
"effective coverage","6.28","6.02"
"Plasmids for scaffolds"
"plasmid end pairs","2780793","3669371"
"insert-size range","1.6k--2.8k","1.4k--2.0k"
"plasmid end pairs","165833"
"insert-size range","2.8k--3.6k"
"plasmid end pairs","71902"
"insert-size range","3.7k--8.0k"
"BACs in super-scaffolds"
"Indica end pairs","36778","36778"
"insert-size range","116k--197k","116k--197k"
"Japonica end pairs","54789","54789"
"insert-size range","127k--177k","127k--177k"

