"9311 unaligned sequence:",,,,"assembled size:"
,,,,"98849075"
,,,,
,,"Total (bp)","% of data set","% of repeats"
"Simple repeats","SSRs","1568689","1.58695364625314","6.06114266419438"
,"Low_complexity","1003965","1.01565442064076","3.87914691494485"
,"Subtotal","2572654","2.6026080668939","9.94028957913923"
"Class I","LINEs","546856","0.553223183929642","2.11295689124529"
,"SINEs","66511","0.0672854045422276","0.256986987056219"
,"gypsy-like","13545477","13.7031904446248","52.3373776137678"
,"copia-like","3194753","3.2319503242696","12.3439723934209"
,"Subtotal","17353597","17.5556493573663","67.0512938854902"
"Class II","Ac/Ds TEs","100506","0.101676217000513","0.388337780533631"
,"En/Spm TEs","266403","0.269504798097504","1.02933506206098"
,"MULEs","2003657","2.02698608965233","7.74178369779588"
,"Subtotal","2370566","2.39816710475035","9.15945654039049"
"Class III","Stowaway-like","1440615","1.45738844799509","5.56628690529378"
,"Tourist-like","1940943","1.96354189454985","7.49946766125691"
,"Unknown MITEs","202702","0.205062111102203","0.783205428429427"
,"Subtotal","3584260","3.62599245364714","13.8489599949801"
,"Grand Total","25881077","26.1824169826577","100"
"9311 unmapped sequence:",,,,"assembled size:"
"(count only sequence >=2K)",,,,"51280805"
,,,,
,,"Total (bp)","% of data set","% of repeats"
"Simple repeats","SSRs","582498","1.13589870517828","3.01597457190748"
,"Low_complexity","328060","0.639732547100226","1.69858200038449"
,"Subtotal","910558","1.77563125227851","4.71455657229197"
"Class I","LINEs","99085","0.193220445739883","0.513028097019135"
,"SINEs","7625","0.0148691113565787","0.0394796310215563"
,"gypsy-like","15156192","29.5552926675001","78.4735564395886"
,"copia-like","2214475","4.3183311962439","11.4657909385522"
,"Subtotal","17477377","34.0817134208404","90.4918551061816"
"Class II","Ac/Ds ","14574","0.0284199906768234","0.0754591662305786"
,"En/Spm","85014","0.165781328900746","0.440173292021847"
,"MULEs","383969","0.748757746685139","1.98805959917586"
,"Subtotal","483557","0.942959066262708","2.50369205742829"
"Class III","Stowaway-like ","153613","0.299552629877788","0.795355352146141"
,"tourist-like","221762","0.432446409528868","1.1482074668331"
,"Unknown MITEs","66890","0.130438669985777","0.346333445118938"
,"Subtotal","442265","0.862437709392432","2.28989626409818"
,"Grand Total","19313757","37.6627414487741","100"
"9311 fully masked reads:",,,,"equivalent size:"
"(20-mer depth >=14 read)",,,,"39513053.0254777"
,,,,
,,"Total (bp)","% of data set","% of repeats"
"Simple repeats","SSRs","222043.630573248","0.561950074000226","1.53030248185758"
,"Low_complexity","199208.121019108","0.504157755208407","1.37292243517502"
,"Subtotal","421251.751592357","1.06610782920863","2.9032249170326"
"Class I","LINEs","40811.6242038217","0.103286436013491","0.281269629966461"
,"SINEs","1014.80891719745","0.00256828779390307","0.00699396150472403"
,"gypsy-like","12314658.4394904","31.1660514804828","84.8713936289378"
,"copia-like","1258385.82802548","3.1847344927396","8.67266919924791"
,"Subtotal","13614870.7006369","34.4566406970298","93.8323264196569"
"Class II","Ac/Ds ","4175.63694267516","0.0105677405961902","0.0287780719501614"
,"En/Spm","49586.3057324841","0.125493481185785","0.341743856973807"
,"MULEs","179446.815286624","0.454145659882632","1.2367294935937"
,"Subtotal","233208.757961783","0.590206881664607","1.60725142251767"
"Class III","Stowaway-like ","50595.2229299363","0.128046858160862","0.348697213335635"
,"Tourist-like","140492.675159236","0.355560161750183","0.968261458002351"
,"Unknown MITEs","49368.152866242","0.124941377894141","0.340240369250369"
,"Subtotal","240456.050955414","0.608548397805186","1.65719904058836"
,"Grand Total","14509787.2611465","36.7215038057082","100.000001799796"
"9311 aligned sequence:",,,,"assembled size:"
,,,,"260552083"
,,,,
,,"Total (bp)","% of data set","% of repeats"
"Simple repeats","SSRs","2196277","0.842932044415857","6.3549729522366"
,"Low_complexity","2365002","0.907688771000921","6.84318223156071"
,"Subtotal","4561279","1.75062081541678","13.1981551837973"
"Class I","LINEs","1496336","0.574294391651438","4.32967918320772"
,"SINEs","237302","0.0910766082802723","0.686638248049608"
,"gypsy-like","7849069","3.01247601232956","22.7114435907851"
,"copia-like","2043721","0.784380986890824","5.91354900903571"
,"Subtotal","11626428","4.46222799915209","33.6413100310781"
"Class II","Ac/Ds TEs","287420","0.110311917943868","0.83165571825951"
,"En/Spm TEs","376284","0.144417958846255","1.08878554133172"
,"MULEs","4951653","1.90044652224101","14.3277104317266"
,"Subtotal","5615357","2.15517639903113","16.2481516913178"
"Class III","Stowaway-like","5299695","2.03402518950501","15.33477716158"
,"Tourist-like","7003277","2.68786068388484","20.2641269348177"
,"Unknown MITEs","453938","0.174221596992568","1.31347899740897"
,"Subtotal","12756910","4.89610747038242","36.9123830938067"
,"Grand Total","34559974","13.2641326839824","100"

