"FOUND IN","BUT NOT IN","Total","% with EST",,"# with EST","% found in genome","% found in one piece",,"# w/o EST","% found in genome","% found in one piece"
"Beijing indica","Syngenta japonica IRGSP japonica","8595","4.92",,"423","64.0661938534279","43.4988179669031",,"8172","44.3220753793441","33.9084679393049"
"Beijing indica Syngenta japonica ","IRGSP japonica","1967","27",,"531","10.5461393596987","6.77966101694915",,"1436","28.4122562674095","21.866295264624"
"Beijing indica IRGSP japonica","Syngenta japonica","1586","20.05",,"318","46.5408805031447","36.4779874213836",,"1268","60.1735015772871","47.0031545741325"
"Beijing indica     and ALL others",,"36940","38.9",,"14369","N/A","N/A",,"22571","N/A","N/A"
,,,,,,,,,
"Syngenta japonica ","Beijing indica IRGSP japonica","3268","3.03",,"99","74.7474747474748","58.5858585858586",,"3169","32.0290312401388","26.948564215841"
"Syngenta japonica Beijing indica  ","IRGSP japonica","1727","29.3",,"506","10.2766798418972","7.31225296442688",,"1221","27.6822276822277","22.1130221130221"
"Syngenta japonica IRGSP japonica","Beijing indica","5777","8.53",,"493","44.8275862068966","34.4827586206897",,"5284","57.2482967448902","44.4360333080999"
"Syngenta japonica     and ALL others",,"35052","39.5",,"13844","N/A","N/A",,"21208","N/A","N/A"
,,,,,,,,,
"IRGSP japonica","Beijing indica Syngenta japonica ","1079","7.69",,"83","60.2409638554217","50.6024096385542",,"996","77.3092369477912","62.14859437751"
"IRGSP japonica Beijing indica ","Syngenta japonica","1331","20.89",,"278","42.4460431654676","37.410071942446",,"1053","58.0246913580247","48.8129154795821"
"IRGSP japonica Syngenta japonica ","Beijing indica","5817","8.77",,"510","41.9607843137255","32.7450980392157",,"5307","57.5654795553043","44.9783305068777"
"IRGSP japonica     and ALL others",,"35408","40.31",,"14273","N/A","N/A",,"21135","N/A","N/A"

