"S1 Table. Bacteriocinogenic LAB and indicator microorganisms used in this study",,,,,,,,,
"Microorganisms",,"Strains","Relevant characteristicsa",,,,,"Source or referenceb",
"Bacteriocinogenic strains",,,"Bacteriocin(s) produced",,,,,,
"Enterococcus faecium",,"L50","EntL50 (EntL50A and EntL50B), EntP and EntQ",,,,,"[1]",,,,,,,,
,,,,,,,,"[2]",,,,,,,,
,,,,,,,,"[3]",
"     E. faecium",,"QA54","EntL50 (EntL50A and EntL50B)",,,,,"[4]",
"     E. faecium",,"QF387","EntP",,,,,"[4]",
"     E. faecium",,"P13","EntP",,,,,"[5]",
"     E. faecium",,"T136","EntA and EntB",,,,,"[6]",
"     E. faecium",,"CV1","EntL50 (EntL50A and EntL50B) and EntP",,,,,"[7]",
"     E. faecium",,"CV2","EntL50 (EntL50A and EntL50B) and EntP",,,,,"[7]",
"     E. faecium",,"TPP2","EntL50 (EntL50A and EntL50B) and EntP",,,,,"[7]",
"     E. faecium",,"TPM76","EntL50 (EntL50A and EntL50B) and EntP",,,,,"[7]",
"     E. faecium",,"LPP29","Nd",,,,,"[7]",
"     E. faecium",,"SMA7","EntL50 (EntL50A and EntL50B) and EntP",,,,,"[7]",
"     E. faecium",,"SMA8","EntL50 (EntL50A and EntL50B) and EntP",,,,,"[7]",
"     E. faecium",,"SM10","Nd",,,,,"[7]",
"     E. faecium",,"SMA36","HirJM79",,,,,"[7]",
"     E. faecium",,"SMF8","EntL50 (EntL50A and EntL50B) and EntP",,,,,"[7]",
"     E. faecium",,"BNM58","EntL50 (EntL50A and EntL50B), EntP and EntQ",,,,,"[7]",
"     E. faecium",,"CGM17","EntL50 (EntL50A and EntL50B) ",,,,,"[7]",
"     E. faecium",,"BCS59","EntP",,,,,"[7]",
"     E. faecium",,"BCS97","EntL50 (EntL50A and EntL50B), EntP and EntQ",,,,,"[7]",
"     E. faecium",,"DEC7","EntA and EntB",,,,,"[8]",
"     E. faecium",,"DCH37","EntL50 (EntL50A and EntL50B), EntP and EntQ",,,,,"[8]",
"     E. faecium",,"DCH38","EntL50 (EntL50A and EntL50B) and EntP",,,,,"[8]",
"     E. faecium",,"HS38","EntP",,,,,"[9]",
"Enterococcus faecalis",,"DBH18","EntL50 (EntL50A and EntL50B) ",,,,,"[8]",
"     E. faecalis",,"PB1","EntL50 (EntL50A and EntL50B) ",,,,,"Clinical origin",
"     E. faecalis",,"DBH9","EnlA",,,,,"[8]",
"Enterococcus hirae",,"DCH5","HirJM79",,,,,"[8]",
"Lactococcus lactis subsp. lactis",,"BB24","NisA",,,,,"[10]",
"     L. lactis subsp. lactis",,"QA13","Nd",,,,,"[4]",
"Lactococcus garvieae",,"DCC43","GarML",,,,,"[8]",
"Lactobacillus sakei subsp. sakei",,"B11","Nd",,,,,"[7]",
"Lactobacillus sakei subsp. carnosus",,"SMA17","Nd",,,,,"[7]",
"     Lb. sakei subsp. carnosus",,"SMM73","Nd",,,,,"[7]",
"Lactobacillus curvatus subsp. curvatus",,"BCS35","SakP, CurG14, CurG15",,,,,"[7]",
"Pediococcus acidilactici",,"QF154","PedPA-1",,,,,"[4]",
"Pediococcus pentosaceus",,"LPV57","Nd",,,,,"[7]",
"Streptococcus sp.",,"LP90","Nd",,,,,"[4]",
,,,,,,,,,
"Indicator strains",,,"Strain serotype and antibiotic susceptibility pattern",,,,,,
"Streptococcus pneumoniae",,"FQ6","23F; ChlR, ClaR, CliR, CtxI, EryR, PenR, SxtR, TetR",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ11","23F; ChlR, ClaR, CliR, CtxS, EryR, PenR, SxtR, TetR",,,,,"Human clinical sample",
"     S. pneumoniae",,"FQ21","23F; ChlR, ClaS, CliS, CtxS, EryS, PenR, SxtR, TetR",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ26","3; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ27","19A; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtR, TetS",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ30","19A; ChlR, ClaR, CliS, CtxS, EryR, PenR, SxtR, TetR",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ32","19A; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtR, TetR",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ33","23F; ChlR, ClaS, CliS, CtxI, EryS, PenR, SxtR, TetR",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ36","6A; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ39","6B; ChlR, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",,,,,
"     S. pneumoniae",,"FQ40","19F; ChlS, ClaR, CliR, CtxS, EryR, PenI, SxtI, TetR",,,,,"Human clinical sample",
"     S. pneumoniae",,"FQ54","Nd; ChlS, ClaR, CliS, CtxI, EryR, PenI, SxtR, TetR",,,,,"Human clinical sample",
"     S. pneumoniae",,"49083","19A; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",
"     S. pneumoniae",,"49781","7A; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",
"     S. pneumoniae",,"52084","19V; ChlS, ClaS, CliS, CtxR, EryS, PenR, SxtS, TetS",,,,,"Human clinical sample",
"     S. pneumoniae",,"66405","19F; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",
"     S. pneumoniae",,"67620","19A; ChlS, ClaR, CliR, CtxS, EryR, PenS, SxtS, TetR",,,,,"Human clinical sample",
"     S. pneumoniae",,"70423","24F; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",
"     S. pneumoniae",,"99828","22F; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",
"     S. pneumoniae",,"111692","8; ChlS, ClaR, CliR, CtxS, EryR, PenS, SxtS, TetR",,,,,"Human clinical sample",
"     S. pneumoniae",,"121404","18F; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",
"     S. pneumoniae",,"121411","19F; ChlS, ClaS, CliS, CtxS, EryS, PenS, SxtS, TetS",,,,,"Human clinical sample",
"     S. pneumoniae",,"15M-1047","Nd",,,,,"Human clinical sample",
"aAbbreviations: EntL50 (EntL50A and EntL50B), enterocin L50 (L50A and L50B); EntP, enterocin P; EntQ, enterocin Q; EntA, enterocin A; EntB, enterocin B; HirJM79, hiracin JM79; EnlA, enterolysin A; NisA,  nisin A; GarML, garvicin ML; SakP, sakacin P; CurG14, curvacin G14; CurG15, curvacin G15; Ped PA-1, pediocin PA-1; Chl, chloramphenicol; Cla, claritromycin; Cli, clindamycin; Ctx, cefotaxime; Ery, erythromycin; Pen, penicillin; Sxt, trimethoprim-sulfamethoxazole; Tet, tetracycline;  S, susceptibility; I, intermediate susceptibility/resistance; R, resistance; Nd, not determined. bClinical origin, Servicio de Microbiología, Hospital Ramón y Cajal (Madrid, Spain).",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"References"
"1. Cintas LM, Rodríguez JM, Fernández MF, Sletten K, Nes IF, Hernández PE, et al. Isolation and characterization of pediocin L50, a new bacteriocin from Pediococcus acidilactici with a broad inhibitory spectrum. Appl Environ Microbiol. 1995; 61: 2643˗2648.",,,,,,,,,,
,,,,,,,,,,
"2. Cintas LM, Casaus P, Holo H, Hernández PE, Nes IF, Håvarstein LS. Enterocins L50A and L50B, two novel bacteriocins from Enterococcus faecium L50, are related to staphylococcal hemolysins. J Bacteriol. 1998; 180: 1988˗1994.",,,,,,,,,
,,,,,,,,,
"3. Cintas LM, Casaus P, Herranz C, Håvarstein LS, Holo H, Hernández PE, et al. Biochemical and genetic evidence that Enterococcus faecium L50 produces enterocins L50A and L50B, the sec-dependent enterocin P, and a novel bacteriocin secreted without an N-terminal extension termed enterocin Q. J Bacteriol. 2000; 182: 6806˗6814.",,,,,,,,,
,,,,,,,,,
"4. Citti R. Aislamiento e identificación de bacterias lácticas bacteriocinogénicas de leches y quesos de búfala de Venezuela: actividad antimicrobiana y caracterización bioquímica y genética de sus bacteriocinas. 2005. Ph.D. thesis. Universidad Complutense de Madrid, Spain. ",,,,,,,,,
,,,,,,,,,
"5. Cintas LM, Casaus P, Håvarstein LS, Hernández PE, Nes IF. Biochemical and genetic characterization of enterocin P, a novel sec-dependent bacteriocin from Enterococcus faecium P13 with a broad antimicrobial spectrum. Appl Environ Microbiol. 1997; 63: 4321˗4330.",,,,,,,,,
,,,,,,,,,
"6. Casaus P, Nilsen T, Cintas LM, Nes IF, Hernández PE, Holo H. Enterocin B, a new bacteriocin from Enterococcus faecium T136 which can act synergistically with enterocin A. Microbiology. 1997; 143: 2287˗2294.",,,,,,,,,
,,,,,,,,,
"7. Gómez-Sala, B. Aislamiento, identificación y actividad antimicrobiana de bacterias lácticas bacteriocinogénicas de origen marino: caracterización bioquímica y genética y producción heteróloga de las curvacinas G14 y G15 de Lactobacillus curvatus BCS35. Thesis, Universidad Complutense of Madrid. 2013. Available from: https://eprints.ucm.es/23425/1/T34859.pdf",,,,,,,,,
,,,,,,,,,
"8. Sánchez J, Diep DB, Herranz C, Nes IF, Cintas LM, Hernández PE. Amino acid and nucleotide sequence, adjacent genes, and heterologous expression of hiracin JM79, a sec-dependent bacteriocin produced by Enterococcus hirae DCH5, isolated from Mallard ducks (Anas platyrhynchos). FEMS Microbiol Lett. 2007; 270: 227˗236.",,,,,,,,,
,,,,,,,,,
"9. Brandão A, Almeida T, Muñoz-Atienza E, Torres C, Igrejas G, Hernández PE, et al. Antimicrobial activity and occurrence of bacteriocin structural genes in Enterococcus spp. of human and animal origin isolated in Portugal. Arch Microbiol. 2010; 192: 927˗936. doi: 10.1007/s00203-010-0619-z. ",,,,,,,,,
,,,,,,,,,
"10. Cintas LM, Casaus P, Fernández MF, Hernández PE. Comparative antimicrobial activity of enterocin L50, pediocin PA-1, nisin A and lactocin S against spoilage and foodborne pathogenic bacteria. Food Microbiol. 1998; 15: 289-298.",,,,,,,,,
,,,,,,,,,

