,,,,,,,,,,,,,,,,,
"S2 Table. Antimicrobial activity of bacteriocinogenic LAB against S. pneumoniae clinical strains.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"S. pneumoniae ",,,,,,,,,,,,,,,,,,,,,,,,
"LAB strains",,"FQ6",,"FQ11",,"FQ21",,"FQ26",,"FQ27",,"FQ30",,"FQ32",,"FQ33",,"FQ36",,"FQ39",,"FQ40",,"FQ54",,
,,"SOATa","ADTb","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT",
"E. faecium",,,,,,,,,,,,,,,,,,,,,,,,,,
"L50",,"Nd","8.8 s-","Nd","7.5 s2","5.8 s+","Nizd","9.0 s","9.0 s+","4.7 s-","Nizd","6.4 s2","9.0 s2","7.3 s2","Nizd","6.0 s+","Nizd","7.7 s","10.0 s+","10.0 s2","Nizd","Nd","7.3 s2","8.0 s","8.2 s2",
"QA54",,"Nd","Nizd","Nd","Nizd","5.0 s+","Nizd","8.0 s-","Nizd","4.3 s-","Nizd","6.4 s2","Nizd","5.1 s-","Nizd","6.0 s+","Nizd","8.0 s-","Nizd","9.5 s2","Nizd","Nd","Nizd","7.4 s","Nizd",
"QF387",,"Nd","Nizd","Nd","Nizd","4.8 s-","Nizd","8.2 s-","Nizd","4.6 s-","Nizd","6.1 s","Nizd","6.6 s","Nizd","5.7 s-","Nizd","8.4 s","Nizd","Nizd","Nizd","Nd","Nizd","6.3 s-","Nizd",
"P13",,"Nd","Nizd","Nd","Nizd","5.4 s-","Nizd","7.8 s-","Nizd","4.6 s-","Nizd","5.7 s-","Nizd","5.5 s-","Nizd","6.1 s-","Nizd","9.0 s2","Nizd","Nizd","Nizd","Nd","Nizd","6.6 s","Nizd",
"T136",,"Nd","Nizd","Nd","Nizd","Nizd","Nizd","8.7 s-","Nizd","4.4 s-","Nizd","6.5 s","Nizd","7.7 s-","Nizd","7.4 s","15.4 s-","8.3 s","Nizd","8.2 s2","15.0 s2","Nd","Nizd","8.0 s","Nizd",
"CV1",,"Nd","8.7 s-","Nd","Nizd","Nizd","Nizd","7.3 s-","Nizd","Nizd","Nizd","6.0 s2","Nizd","6.4 s-","Nizd","6.3 s-","12.0 s-","7.0 s","8.3 s2","9.4 s2","12.2 s2","Nd","Nizd","6.3 s-","Nizd",
"CV2",,"Nd","6.7 s-","Nd","6.7 s2","5.5 s+","Nizd","8.6 s+","Nizd","3.6 s+","Nizd","7.2 s","8.0 s-","7.0 s","Nizd","5.3 s-","Nizd","7.0 s","10.0 s2","6.7 s","Nizd","Nd","Nizd","6.1 s-","8.3 s-",
"TPP2",,"Nd","Nizd","Nd","7.5 s2","5.9 s+","Nizd","8.8 s+","Nizd","3.9 s+","Nizd","6.7 s2","8.0 s-","7.0 s","Nizd","5.8 s-","Nizd","6.3 s","9.5 s2","6.3 s","Nizd","Nd","Nizd","5.8 s+","Nizd",
"TPM76",,"Nd","8.7 s-","Nd","7.6 s2","7.5 s+","Nizd","8.4 s+","Nizd","4.9 s+","Nizd","7.0 s2","8.0 s-","8.6 s-","8,6 s+","6.4 s-","Nizd","7.8 s","9.0 s2","7.0 s+","Nizd","Nd","Nizd","7.2 s+","Nizd",
"LPP29",,"Nd","8.7 s-","Nd","Nizd","5.5 s-","Nizd","8.2 s-","Nizd","4.7 s-","Nizd","7.3 s","Nizd","7.8 s","8,5 s","6.6 s-","Nizd","7.5 s2","Nizd","5.4 s-","Nizd","Nd","Nizd","7.6 s-","Nizd",
"SMA7",,"Nd","Nizd","Nd","Nizd","4.7 s ","Nizd","6.3 s","Nizd","3.9 s+","Nizd","6.0 s2","Nizd","6.5 s","Nizd","6.6 s-","Nizd","7.1 s","8.0 s+","6.0 s+","Nizd","Nd","Nizd","6.5 s","Nizd",
"SMA8",,"Nd","Nizd","Nd","Nizd","5.3 s+","Nizd","8.0  s","Nizd","4.0 s+","Nizd","6.0 s2","Nizd","8.5 s-","Nizd","5.5 s+","Nizd","7.4 s","Nizd","6.5 s2","Nizd","Nd","Nizd","6.3 s-","Nizd",
"SMA10",,"Nd","Nizd","Nd","Nizd","5.9 s2","Nizd","9.5 s","Nizd","4.4 s+","Nizd","7.0 s2","Nizd","7.5 s-","Nizd","5.5 s+","Nizd","6.8 s","7.5 s+","7.8 s2","Nizd","Nd","Nizd","7.5 s","Nizd",
"SMA36",,"Nd","Nizd","Nd","Nizd","6.0 s+","Nizd","7.9 s-","Nizd","4.4 s","Nizd","4.9 s-","Nizd","8.4 s-","Nizd","7.7 s-","Nizd","9.6 s","Nizd","7.0 s2","Nizd","Nd","Nizd","6.9 s-","Nizd",
"SMF8",,"Nd","Nizd","Nd","Nizd","5.3 s+","Nizd","7.9 s+","Nizd","4.4 s+","Nizd","6.7 s2","Nizd","Nizd","Nizd","6.0 s+","Nizd","8.3 s-","8.5 s+","8.5 s","Nizd","Nd","Nizd","6.9 s-","Nizd",
"BNM58",,"Nd","9.3 s-","Nd","10.0 s2","6.8 s2","Nizd","8.5 s+","Nizd","5.0 s+","7,9 s2","6.4 s2","7.4 s2","8.7 s-","9,9 s2","6.0 s+","Nizd","8.4 s2","9.0 s+","9.0 s","Nizd","Nd","8.9 s2","7.6 s+","10.0 s2",
"CGM17",,"Nd","Nizd","Nd","Nizd","5.3 s+","Nizd","8.6 s+","Nizd","4.5 s+","Nizd","6.4 s2","Nizd","8.7 s2","Nizd","5.6 s+","Nizd","7.6 s2","9.0 s+","10.4 s","Nizd","Nd","Nizd","7.6 s+","Nizd",
"BCS59",,"Nd","Nizd","Nd","Nizd","Nizd","Nizd","7.7 s-","Nizd","Nizd","Nizd","5.0 s-","Nizd","6.6 s-","Nizd","7.0 s","Nizd","7.6 s","Nizd","Nizd","Nizd","Nd","Nizd","Nizd","Nizd",
"BCS97",,"Nd","Nizd","Nd","Nizd","5.9 s2","Nizd","8.0 s+","Nizd","4.9 s2","Nizd","6.0 s","Nizd","7.0 s2","8,5 s-","6.0 s-","Nizd","6.0 s","8.5 s+","6.8 s","Nizd","Nd","Nizd","6.4 s","Nizd",
"HS38",,"Nd","Nizd","Nd","Nizd","5.0 s-","Nizd","Nizd","Nizd","Nizd","Nizd","8.0  s","Nizd","6.6 s","Nizd","Nizd","Nizd","7.6 s-","Nizd","3.9 s+","Nizd","Nd","Nizd","Nizd","Nizd",
"DEC7",,"Nd","Nizd","Nd","Nizd","3.6 s-","Nizd","8.0 s+","Nizd","4.8 s-","Nizd","6.3 s-","Nizd","7.7 s-","Nizd","5.3 s-","16.0 s-","7.6 s","Nizd","10.0 s2","16.0 s-","Nd","Nizd","8.6 s","Nizd",
"DCH37",,"Nd","Nizd","Nd","Nizd","6.4 s+","Nizd","8.7 s2","Nizd","5.5 s+","Nizd","6.5 s","Nizd","7.5 s","Nizd","7.7 s-","Nizd","8.6 s","Nizd","7.3 s","Nizd","Nd","Nizd","9.0 s-","Nizd",
"DCH38",,"Nd","Nizd","Nd","Nizd","4.7 s ","Nizd","8.3 s2","Nizd","4.7 s-","Nizd","6.2 s","Nizd","7.4 s","Nizd","7.7 s-","Nizd","7.7 s","9.0 s+","7.9 s","Nizd","Nd","Nizd","9.3 s","Nizd",
"E. faecalis",,,,,,,,,,,,,,,,,,,,,,,,,,
"DBH18",,"Nd","11.0 s-","Nd","9.8 s2","10.5 s2","9.3 s2","9.2 s+","10.0 s+","9.2 s+","11.0 s2","8.6 s2","11.0 s2","11.0 s","9.0 s","8.9 s2","10.0 s2","11.0 s2","10.0 s2","9.9 s2","11.0 s2","Nd","11.4 s2","9.0 s2","11.3 s2",,,,"a"
"PB1",,"Nd","Nizd","Nd","Nizd","Nizd","Nizd","8.0 s-","Nizd","8.0 s-","Nizd","4.8 s","Nizd","6.4 s-","Nizd","4.7 s+","Nizd","7.0 s-","Nizd","5,6 s+","Nizd","Nd","Nizd","6.6 s-","Nizd",
"DBH9",,"Nd","Nizd","Nd","Nizd","4.0 s-","Nizd","7.8 s-","Nizd","7.8 s-","Nizd","Nizd","Nizd","7.5 s","Nizd","6.0 s-","Nizd","7.6 s","Nizd","5.8 s+","Nizd","Nd","Nizd","8.2 s-","Nizd",
"E. hirae",,,,,,,,,,,,,,,,,,,,,,,,,,
"DCH5",,"Nd","Nizd","Nd","Nizd","Nizd","Nizd","8.3 s-","Nizd","8.3 s-","Nizd","6.5 s","Nizd","6.4 s-","Nizd","7.2 s-","10.3 s-","8.0 s-","Nizd","8.5 s2","11.4 s2","Nd","Nizd","10.0 s-","Nizd",
"L. lactis lactis",,,,,,,,,,,,,,,,,,,,,,,,,,
"BB24",,"Nd","11.0 s-","Nd","11.0 s2","4.9 s+","7.6 s2","13.2 s+","13.0 s+","13.2 s+","8.0 s2","5.8 s","12.0 s2","12.0 s2","13.0 s2","8.3 s2","10.2 s2","12.0 s2","12.0 s2","6.4 s2","11.0 s2","Nd","16.3 s2","12.0 s+","13.6 s2",
"QA13",,"Nd","Nizd","Nd","Nizd","Nizd","Nizd","7.3 s-","Nizd","7.3 s-","Nizd","5.6 s","Nizd","8,4 s","Nizd","6.0 s-","Nizd","6.5 s","Nizd","Nizd","Nizd","Nd","Nizd","6.7 s-","Nizd",
"L. garvieae",,,,,,,,,,,,,,,,,,,,,,,,,,
"DCC43",,"Nd","9.9 s-","Nd","9.8 s2","5.6 s+","8.0 s2","8.4 s","9.0 s+","8.4 s","8.2 s2","Nizd","7.0 s2","9.7 s-","9.0 s","9.2 s+","Nizd","9.3 s","10.0 s2","5.0 s+","Nizd","Nd","8.9 s2","7.7 s2","10.1 s2",
"Lb. sakei sakei",,,,,,,,,,,,,,,,,,,,,,,,,,
"B11",,"Nd","Nizd","Nd","Nizd","6.9 s-","Nizd","9.9 s-","Nizd","9.9 s-","Nizd","8.0 s","Nizd","8.7 s-","Nizd","6.6 s-","Nizd","10.0 s-","Nizd","Nizd","Nizd","Nd","Nizd","10.5 s-","Nizd",
"Lb. sakei carnosus",,,,,,,,,,,,,,,,,,,,,,,,,,
"SMA17",,"Nd","Nizd","Nd","Nizd","Nizd","Nizd","8.3 s-","Nizd","8.3 s-","Nizd","Nizd","Nizd","8.0 s-","Nizd","6.3 s-","Nizd","11.3 s","Nizd","8.8 s2","Nizd","Nd","Nizd","7.6 s-","Nizd",
"SMM73",,"Nd","Nizd","Nd","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","9.4 s-","Nizd","Nizd","Nizd","Nd","Nizd","Nizd","Nizd",
"Lb. curvatus curvatus",,,,,,,,,,,,,,,,,,,,,,,,,,
"BCS35",,"Nd","Nizd","Nd","Nizd","Nizd","Nizd","7.8 s-","Nizd","7.8 s-","Nizd","Nizd","Nizd","Nizd","Nizd","Nizd","15.0 s-","Nizd","Nizd","7.9 s2","15.0 s-","Nd","Nizd","6.1 s-","Nizd",
"P. acidilactici",,,,,,,,,,,,,,,,,,,,,,,,,,
"QF154",,"Nd","Nizd","Nd","Nizd","6.6 s-","Nizd","12.2 s-","Nizd","12.2 s-","Nizd","7.5 s","Nizd","6.6 s-","Nizd","6.5 s-","17.0 s2","8.9 s-","Nizd","12.0 s2","17.0 s2","Nd","Nizd","8.0 s","Nizd",
"P. pentosaceus",,,,,,,,,,,,,,,,,,,,,,,,,,
"LPV57",,"Nd","Nizd","Nd","Nizd","7.0 s-","Nizd","10.0 s-","Nizd","10.0 s-","Nizd","9.2 s","Nizd","8.7 s-","Nizd","7.8 s-","Nizd","12.0 s-","Nizd","Nizd","Nizd","Nd","Nizd","10.0 s-","Nizd",
"Streptococcus sp.",,,,,,,,,,,,,,,,,,,,,,,,,,
"LP90",,"Nd","12.0 s-","Nd","11.5 s2","Nizd","8.4 s2","7.7 s-","15.0 s+","7.7 s-","8.9 s2","6.0 s-","11.0 s2","9.7 s-","15.0 s","Nizd","15.0 s-","8.3 s","13.0 s2","Nizd","15.0 s2","Nd","10.3 s2","Nizd","10.5 s2",
,,"S. pneumoniae ",,,,,,,,,,,,,,,,,,,,,
"LAB strains",,"49083",,"49781",,"52084",,"66405",,"67620",,"70423",,"99828",,"111692",,"121404",,"121411",,"15M-1047",
,,"SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT","SOAT","ADT"
"E. faecium",,,,,,,,,,,,,,,,,,,,,,,
"L50",,"Nd","Nizd","Nd","Nizd","Nd","8.9 s2","Nd","8.0 s+","Nd","Nizd","Nd","Nizd","Nd","9.0 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.6 s2"
"QA54",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"QF387",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"P13",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"T136",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"CV1",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.2 s2"
"CV2",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","10.5 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.6 s2"
"TPP2",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","7.6 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","7.4 s2"
"TPM76",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.3 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.1 s2"
"LPP29",,"Nd","Nizd","Nd","Nizd","Nd","8.9 s2","Nd","7.6 s-","Nd","Nizd","Nd","Nizd","Nd","9.8 s+","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.3 s2"
"SMA7",,"Nd","Nizd","Nd","Nizd","Nd","18.8 s-","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.0 s+","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.3 s2"
"SMA8",,"Nd","Nizd","Nd","Nizd","Nd","8.0 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"SMA10",,"Nd","Nizd","Nd","Nizd","Nd","17.3 s-","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"SMA36",,"Nd","Nizd","Nd","Nizd","Nd","20.0 s-","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","7.8 s2"
"SMF8",,"Nd","Nizd","Nd","Nizd","Nd","17.0 s-","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.6 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","8.5 s2"
"BNM58",,"Nd","Nizd","Nd","7.9 s2","Nd","9.8 s2","Nd","9.2 s2","Nd","8.5 s2","Nd","8.3 s2","Nd","7.9 s+","Nd","7.2 s2","Nd","7.1 s2","Nd","8.2 s+","Nd","9.5 s2"
"CGM17",,"Nd","Nizd","Nd","Nizd","Nd","17.0 s-","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","7.6 s2"
"BCS59",,"Nd","Nizd","Nd","Nizd","Nd","18.6 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"BCS97",,"Nd","Nizd","Nd","Nizd","Nd","7.8 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","7.9 s2"
"HS38",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"DEC7",,"Nd","Nizd","Nd","Nizd","Nd","17.4 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"DCH37",,"Nd","Nizd","Nd","Nizd","Nd","17.1 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"DCH38",,"Nd","Nizd","Nd","Nizd","Nd","16.4 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","9.5 s2"
"E. faecalis",,,,,,,,,,,,,,,,,,,,,,,
"DBH18",,"Nd","Nizd","Nd","10.6 s-","Nd","8.5 s2","Nd","9.9 s2","Nd","10.3 s2","Nd","9.4 s2","Nd","12.1 s2","Nd","9.7 s2","Nd","10.0 s2","Nd","10.2 s2","Nd","12.3 s2"
"PB1",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"DBH9",,"Nd","Nizd","Nd","Nizd","Nd","17.4 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"E. hirae",,,,,,,,,,,,,,,,,,,,,,,
"DCH5",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"L. lactis lactis",,,,,,,,,,,,,,,,,,,,,,,
"BB24",,"Nd","15.8 s2","Nd","11.1 s2","Nd","Nizd","Nd","10.9 s2","Nd","13.2 s2","Nd","13.0 s2","Nd","10.7 s2","Nd","16.5 s+","Nd","12.0 s2","Nd","13.7 s2","Nd","11.0 s2"
"QA13",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"L. garvieae",,,,,,,,,,,,,,,,,,,,,,,
"DCC43",,"Nd","Nizd","Nd","9.8 s-","Nd","7.4 s2","Nd","Nizd","Nd","9.4 s2","Nd","Nizd","Nd","9.8 s2","Nd","Nizd","Nd","7.9 s2","Nd","8.1 s2","Nd","10.2 s2"
"Lb. sakei sakei",,,,,,,,,,,,,,,,,,,,,,,
"B11",,"Nd","Nizd","Nd","Nizd","Nd","17.8 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"Lb. sakei carnosus",,,,,,,,,,,,,,,,,,,,,,,
"SMA17",,"Nd","Nizd","Nd","Nizd","Nd","19.4 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"SMM73",,"Nd","Nizd","Nd","Nizd","Nd","19.2 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"Lb. curvatus curvatus",,,,,,,,,,,,,,,,,,,,,,,
"BCS35",,"Nd","Nizd","Nd","Nizd","Nd","17.0 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"P. acidilactici",,,,,,,,,,,,,,,,,,,,,,,
"QF154",,"Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"P. pentosaceus",,,,,,,,,,,,,,,,,,,,,,,
"LPV57",,"Nd","Nizd","Nd","Nizd","Nd","17.8 s2","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd","Nd","Nizd"
"Streptococcus sp.",,,,,,,,,,,,,,,,,,,,,,,
"LP90",,"Nd","12.6 s2","Nd","11.7 s2","Nd","8.9 s2","Nd","12.5 s2","Nd","11.6 s2","Nd","12.6 s2","Nd","11.4 s2","Nd","13.7 s2","Nd","11.3 s2","Nd","11.7 s2","Nd","13.3 s2"
"aDirect antimicrobial activity as determined by a SOAT and bextracellular antimicrobial activity as determined by an ADT using 50 µl of CFS, both expressed as the diameter of the inhibition zones in mm. Inhibition zones are differentiated as follows: s-= slightly sharp-, s= sharp, s+= very sharp, s2= greatly sharp. Nizd, no inhibition zone detected. Nd, not determined.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,

