paper_id	peptide	sequence	endpoint	value	unit	target	assay_medium	inoculum	modification	verdict	evidence	qa_flags
PMC13054752	Ent. as.1	None	growth inhibition activity	100-200	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture; OD600 1.0; 12.0 x 10^8 CFU/mL	none	codex_x2	text: bacteriocins produced by E. asini exerted inhibitory effect at 100-200 AU/mL; Fig. 2	missing_sequence
PMC13054752	Ent. sacch.	None	growth inhibition activity	100-200	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture; OD600 1.0; 12.0 x 10^8 CFU/mL	none	codex_x2	text: bacteriocins produced by E. saccharolyticus exerted inhibitory effect at 100-200 AU/mL; Fig. 2	missing_sequence
PMC13054752	nisin	None	growth inhibition activity	100-800	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture; OD600 1.0; 12.0 x 10^8 CFU/mL	none	codex_x2	text: nisin showed inhibitory activity of 100-800 AU/mL; Fig. 2	missing_sequence
PMC13054752	L.l MK 2/8	None	growth inhibition activity	100-200	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture; OD600 1.0; 12.0 x 10^8 CFU/mL	none	codex_1	text: L. lactis bacteriocin L.l MK 2/8 activity was 100-200 AU/mL; Fig. 2	missing_sequence
PMC13054752	L.l MK 2/2	None	growth inhibition activity	100-200	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture; OD600 1.0; 12.0 x 10^8 CFU/mL	none	codex_1	text: L. lactis bacteriocin L.l MK 2/2 activity was 100-200 AU/mL; Fig. 2	missing_sequence
PMC13054752	L.l MK 2/7	None	growth inhibition activity	100-200	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture; OD600 1.0; 12.0 x 10^8 CFU/mL	none	codex_1	text: L. lactis bacteriocin L.l MK 2/7 activity was 100-200 AU/mL; Fig. 2	missing_sequence
PMC13054752	Ent412	None	growth inhibition activity	no inhibitory effect	None	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	value_without_digit;qualitative_value;missing_sequence;missing_or_literal_none_unit;negative_activity_claim
PMC13054752	EntM/AL41	None	growth inhibition activity	no inhibitory effect	None	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	value_without_digit;qualitative_value;missing_sequence;missing_or_literal_none_unit;negative_activity_claim
PMC13054752	Ent7420	None	growth inhibition activity	no inhibitory effect	None	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	value_without_digit;qualitative_value;missing_sequence;missing_or_literal_none_unit;negative_activity_claim
PMC13054752	EntA(P)/EK 13	None	growth inhibition activity	no inhibitory effect	None	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	value_without_digit;qualitative_value;missing_sequence;missing_or_literal_none_unit;negative_activity_claim
