artifact	old_id	new_id
worklist	10.1038/s41598-024-73766-1)	10.1038/s41598-024-73766-1
worklist	10.14744/cpr.2025.96095)	10.14744/cpr.2025.96095
worklist	10.1038/s41467-025-62407-4)	10.1038/s41467-025-62407-4
worklist	10.1371/journal.pcbi.1013833)	10.1371/journal.pcbi.1013833
worklist	10.1021/acsomega.5c01923)	10.1021/acsomega.5c01923
worklist	10.1186/s13567-025-01593-x)	10.1186/s13567-025-01593-x
worklist	10.2478/jvetres-2025-0039)	10.2478/jvetres-2025-0039
worklist	10.3389/fmicb.2025.1662564)	10.3389/fmicb.2025.1662564
worklist	10.1186/s12866-025-04404-7)	10.1186/s12866-025-04404-7
worklist	10.1007/s00284-025-04346-3)	10.1007/s00284-025-04346-3
worklist	10.3389/fmicb.2025.1700442)	10.3389/fmicb.2025.1700442
worklist	10.1038/s41598-025-22890-7)	10.1038/s41598-025-22890-7
worklist	10.3389/fphar.2025.1719557)	10.3389/fphar.2025.1719557
worklist	10.3389/fmicb.2025.1553693)	10.3389/fmicb.2025.1553693
worklist	10.21203/rs.3.rs-7499194_v1)	10.21203/rs.3.rs-7499194/v1
worklist	10.1038/s41598-025-28545-x)	10.1038/s41598-025-28545-x
worklist	10.1038/s41598-025-19166-5)	10.1038/s41598-025-19166-5
worklist	10.3389/fmicb.2025.1642199)	10.3389/fmicb.2025.1642199
worklist	10.1038/s41598-025-06522-8)	10.1038/s41598-025-06522-8
worklist	10.14202/vetworld.2025.3982-3993)	10.14202/vetworld.2025.3982-3993
worklist	10.1038/s41598-025-31310-9)	10.1038/s41598-025-31310-9
worklist	10.1038/s41598-025-19992-7)	10.1038/s41598-025-19992-7
worklist	10.36921/kos.2024_3032)	10.36921/kos.2024/3032
worklist	10.3390/antibiotics14090851)	10.3390/antibiotics14090851
worklist	10.1186/s13567-025-01601-0)	10.1186/s13567-025-01601-0
worklist	10.1186/s13567-025-01586-w)	10.1186/s13567-025-01586-w
worklist	10.1002/anie.202513121)	10.1002/anie.202513121
worklist	10.1186/s12866-025-04357-x)	10.1186/s12866-025-04357-x
worklist	10.1186/s12866-025-04197-9)	10.1186/s12866-025-04197-9
worklist	10.1038/s41598-025-10034-w)	10.1038/s41598-025-10034-w
worklist	10.1186/s12866-025-04123-z)	10.1186/s12866-025-04123-z
worklist	10.1021/acsabm.5c01252)	10.1021/acsabm.5c01252
worklist	10.24272/j.issn.2095-8137.2025.303)	10.24272/j.issn.2095-8137.2025.303
worklist	10.1038/s41598-025-26614-9)	10.1038/s41598-025-26614-9
worklist	10.12677/app.2025.151007)	10.12677/app.2025.151007
worklist	10.3389/fimmu.2025.1524092)	10.3389/fimmu.2025.1524092
worklist	10.1186/s13568-025-01908-3)	10.1186/s13568-025-01908-3
worklist	10.3390/pharmaceutics17121526)	10.3390/pharmaceutics17121526
worklist	10.1038/s41522-025-00837-0)	10.1038/s41522-025-00837-0
worklist	10.3389/fmedt.2025.1663924)	10.3389/fmedt.2025.1663924
worklist	10.1038/s41598-025-29883-6)	10.1038/s41598-025-29883-6
worklist	10.1038/s41598-025-24235-w)	10.1038/s41598-025-24235-w
worklist	10.1186/s12915-025-02324-6)	10.1186/s12915-025-02324-6
worklist	10.3389/fvets.2025.1677663)	10.3389/fvets.2025.1677663
