level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	375	315	1730	388	-1	
3	1	1	1	0	0	375	315	1730	388	-1	
4	1	1	1	1	0	378	315	1727	46	-1	
5	1	1	1	1	1	378	316	324	45	96	Supplementary
5	1	1	1	1	2	726	317	115	34	95	Table
5	1	1	1	1	3	869	316	31	35	94	1.
5	1	1	1	1	4	926	315	200	36	96	Minimum
5	1	1	1	1	5	1151	315	195	46	95	inhibitory
5	1	1	1	1	6	1370	315	270	36	96	concentration
5	1	1	1	1	7	1665	315	124	45	96	(MIC)
5	1	1	1	1	8	1816	315	71	36	96	and
5	1	1	1	1	9	1911	315	194	36	95	minimum
4	1	1	1	2	0	375	380	1682	46	-1	
5	1	1	1	2	1	375	380	232	36	96	bactericidal
5	1	1	1	2	2	622	380	270	36	96	concentration
5	1	1	1	2	3	907	380	141	45	95	(MBC)
5	1	1	1	2	4	1064	380	45	36	93	of
5	1	1	1	2	5	1116	380	176	36	91	bacNIDs
5	1	1	1	2	6	1308	380	140	46	93	against
5	1	1	1	2	7	1461	381	32	35	92	S.
5	1	1	1	2	8	1512	393	131	23	95	aureus
5	1	1	1	2	9	1659	380	70	36	92	and
5	1	1	1	2	10	1742	381	32	35	84	S.
5	1	1	1	2	11	1794	380	263	46	96	typhimurium.
4	1	1	1	3	0	760	469	936	47	-1	
5	1	1	1	3	1	760	469	114	47	96	Strain
5	1	1	1	3	2	1206	473	67	30	96	MIC
5	1	1	1	3	3	1612	473	84	30	96	MBC
4	1	1	1	4	0	739	562	945	30	-1	
5	1	1	1	4	1	739	562	31	30	92	S.
5	1	1	1	4	2	789	569	123	23	96	aureus
5	1	1	1	4	3	1217	562	42	30	96	64
5	1	1	1	4	4	1621	562	63	30	96	512
4	1	1	1	5	0	690	665	1007	38	-1	
5	1	1	1	5	1	690	665	31	29	85	S.
5	1	1	1	5	2	740	665	219	38	96	typhimurium
5	1	1	1	5	3	1209	665	62	29	96	128
5	1	1	1	5	4	1610	665	87	29	88	>512
