score	source_kind	locator	categories	category_counts	char_count	sha256
34	pdf_page	pdf:page=4	computational;direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	computational:1;direct_binding_biophysical:2;direct_membrane_structure:1;inferred_structure:13;phenotype_activity:15;toxicity_selectivity:2	9322	a762b015be0a78ab68ed13fb2c3e90d6941f32456ed251a215225e245e00d724
33	xml_section	xml:sec:1	computational;direct_binding_biophysical;inferred_structure;phenotype_activity;toxicity_selectivity	computational:1;direct_binding_biophysical:3;inferred_structure:15;phenotype_activity:13;toxicity_selectivity:1	8000	02cb235ba4c28c8c7a6dc66b2a984bf6ec566f157c0a2f95ee85623cd501f230
27	pdf_page	pdf:page=8	direct_membrane_permeability;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_membrane_permeability:1;direct_membrane_structure:7;inferred_structure:4;phenotype_activity:11;toxicity_selectivity:4	8875	71b6fdb3839697d80918d21ab53652d63ea3581e68f33c3c183a4420dbfdf922
25	xml_section	xml:sec:17	direct_binding_biophysical;direct_membrane_permeability;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:3;direct_membrane_permeability:1;direct_membrane_structure:6;inferred_structure:2;phenotype_activity:8;toxicity_selectivity:5	8000	84abd71fa5c3956161fac87782be292a507b73de0b4461ae578e257bfd75ffea
20	pdf_page	pdf:page=5	direct_binding_biophysical;direct_membrane_permeability;direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:2;direct_membrane_permeability:1;direct_membrane_structure:5;phenotype_activity:9;toxicity_selectivity:3	11398	0071f14586dda0187f4d44c018bbe9f4149a1021270cbfbd47052cc09218b59e
19	pdf_page	pdf:page=3	direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:1;direct_membrane_structure:4;inferred_structure:4;phenotype_activity:8;toxicity_selectivity:2	12014	07a78fbd4dbebf73c1483583c128b513b72963282799a6eb770a6edd04b73fee
18	xml_section	xml:sec:2	direct_binding_biophysical;direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:2;direct_membrane_structure:5;phenotype_activity:9;toxicity_selectivity:2	8000	5a0d7577bf5951fd13c817522ec9b0d17cd4d09f3ee0cbaffa5c09202468c104
12	xml_section	xml:p:1	direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:4;phenotype_activity:6;toxicity_selectivity:2	1682	4f8e6c8dd6b8528fd3c27f4028ea2362f2fc414951577b79b7151d747a4b99fc
12	xml_section	xml:abstract:1	direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:4;phenotype_activity:6;toxicity_selectivity:2	1682	4f8e6c8dd6b8528fd3c27f4028ea2362f2fc414951577b79b7151d747a4b99fc
11	xml_section	xml:p:41	direct_membrane_structure;inferred_structure;phenotype_activity	direct_membrane_structure:1;inferred_structure:3;phenotype_activity:7	1568	ca875d1d19a69acbe974fd058febb4f274c7be407eccf82d11e67ba1b5bdfe28
