score	source_kind	locator	categories	category_counts	char_count	sha256
78	xml_section	xml:sec:1	computational;direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	computational:1;direct_binding_biophysical:5;direct_membrane_structure:12;inferred_structure:15;phenotype_activity:44;toxicity_selectivity:1	8000	02cb235ba4c28c8c7a6dc66b2a984bf6ec566f157c0a2f95ee85623cd501f230
76	pdf_page	pdf:page=4	computational;direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	computational:1;direct_binding_biophysical:3;direct_membrane_structure:12;inferred_structure:13;phenotype_activity:45;toxicity_selectivity:2	9322	a762b015be0a78ab68ed13fb2c3e90d6941f32456ed251a215225e245e00d724
50	pdf_page	pdf:page=11	direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity	direct_binding_biophysical:4;direct_membrane_structure:20;inferred_structure:3;phenotype_activity:23	11157	00bf23d777440a467cd9147708f0dda85efa8dec8dd0965c435327eb04d80104
45	pdf_page	pdf:page=12	direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity	direct_binding_biophysical:2;direct_membrane_structure:12;inferred_structure:8;phenotype_activity:23	10895	eae34418e9302e87ba4d9a93c4d84033aa840332dc07bd3880ae324e7ee63fb9
42	pdf_page	pdf:page=3	direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:2;direct_membrane_structure:10;inferred_structure:4;phenotype_activity:24;toxicity_selectivity:2	12014	07a78fbd4dbebf73c1483583c128b513b72963282799a6eb770a6edd04b73fee
39	pdf_page	pdf:page=8	direct_membrane_permeability;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_membrane_permeability:1;direct_membrane_structure:10;inferred_structure:5;phenotype_activity:19;toxicity_selectivity:4	8875	71b6fdb3839697d80918d21ab53652d63ea3581e68f33c3c183a4420dbfdf922
32	xml_section	xml:sec:17	direct_binding_biophysical;direct_membrane_permeability;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:4;direct_membrane_permeability:2;direct_membrane_structure:8;inferred_structure:2;phenotype_activity:11;toxicity_selectivity:5	8000	84abd71fa5c3956161fac87782be292a507b73de0b4461ae578e257bfd75ffea
32	pdf_page	pdf:page=5	direct_binding_biophysical;direct_membrane_permeability;direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:3;direct_membrane_permeability:1;direct_membrane_structure:6;phenotype_activity:19;toxicity_selectivity:3	11398	0071f14586dda0187f4d44c018bbe9f4149a1021270cbfbd47052cc09218b59e
29	xml_section	xml:sec:2	direct_binding_biophysical;direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:3;direct_membrane_structure:6;phenotype_activity:18;toxicity_selectivity:2	8000	5a0d7577bf5951fd13c817522ec9b0d17cd4d09f3ee0cbaffa5c09202468c104
21	xml_section	xml:p:6	direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity	direct_binding_biophysical:1;direct_membrane_structure:2;inferred_structure:5;phenotype_activity:13	1796	5b99d3cb1dc80f0ff662a3ba1b18d9e117738838f122644ec54a586d8fdc703a
21	xml_section	xml:p:1	direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:6;phenotype_activity:13;toxicity_selectivity:2	1682	4f8e6c8dd6b8528fd3c27f4028ea2362f2fc414951577b79b7151d747a4b99fc
21	xml_section	xml:abstract:1	direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:6;phenotype_activity:13;toxicity_selectivity:2	1682	4f8e6c8dd6b8528fd3c27f4028ea2362f2fc414951577b79b7151d747a4b99fc
19	xml_section	xml:p:41	direct_membrane_structure;inferred_structure;phenotype_activity	direct_membrane_structure:2;inferred_structure:4;phenotype_activity:13	1568	ca875d1d19a69acbe974fd058febb4f274c7be407eccf82d11e67ba1b5bdfe28
19	xml_section	xml:p:4	direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:1;direct_membrane_structure:4;inferred_structure:2;phenotype_activity:11;toxicity_selectivity:1	1482	d87ecb8b9dda99140d5508634db8a6e3db34add17374b4bae772065e8a2d2f5b
15	pdf_page	pdf:page=9	direct_membrane_permeability;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_membrane_permeability:1;direct_membrane_structure:3;inferred_structure:1;phenotype_activity:6;toxicity_selectivity:4	5856	10a962acd9809b3fe99e69c1e8ef775e5f5f4d14853fa48a7d2ae3a7c9b1a0fb
15	pdf_page	pdf:page=10	direct_membrane_structure;inferred_structure;phenotype_activity	direct_membrane_structure:3;inferred_structure:1;phenotype_activity:11	7962	60d9acbb65e1b63fe75275d90896e1884b23a0d825389c15c04b000a050755f9
13	xml_section	xml:sec:18	direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:3;inferred_structure:1;phenotype_activity:6;toxicity_selectivity:3	1917	cf9969f6142adef972231e42d9e7a160246cbd95b30aa3eef0c9d0c25d74b0a8
13	xml_section	xml:p:9	direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:3;inferred_structure:3;phenotype_activity:6;toxicity_selectivity:1	1353	f8d6b7f02c515dd59680741f9b68d9765e19323ee79fd397ae4c2a1e48fad48d
