page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   2     0 image    1038   780  rgb     3   8  jpeg   no        26  0   171   171 50.8K 2.1%
   2     1 smask    1038   780  gray    1   8  image  no        26  0   171   171 2076B 0.3%
   2     2 image    1370   296  rgb     3   8  jpeg   no        27  0   220   220 42.4K 3.6%
   3     3 image    1009   728  rgb     3   8  jpeg   no        31  0   164   164 45.7K 2.1%
   3     4 smask    1009   728  gray    1   8  image  no        31  0   164   164 1826B 0.2%
   3     5 image    1357   305  rgb     3   8  jpeg   no        32  0   220   220 45.0K 3.7%
   4     6 image    1073   843  rgb     3   8  jpeg   no        36  0   184   184 58.8K 2.2%
   4     7 smask    1073   843  gray    1   8  image  no        36  0   184   184 2429B 0.3%
   4     8 image    1378   313  rgb     3   8  jpeg   no        37  0   220   220 45.4K 3.6%
   5     9 image    1012   741  rgb     3   8  jpeg   no        41  0   167   167 47.4K 2.2%
   5    10 smask    1012   741  gray    1   8  image  no        41  0   167   167 1893B 0.3%
   5    11 image    1378   311  rgb     3   8  jpeg   no        42  0   220   219 42.6K 3.4%
   6    12 image    1075   825  index   1   8  image  no        46  0   150   150 23.9K 2.8%
   6    13 smask    1075   825  gray    1   8  image  no        46  0   150   150 20.1K 2.3%
   7    14 image    1378  1022  rgb     3   8  jpeg   no        50  0   220   220  121K 2.9%
   7    15 smask    1378  1022  gray    1   8  image  no        50  0   220   220  205K  15%
