page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   2     0 image     693   685  icc     3   8  image  yes       26  0   125   125 68.6K 4.9%
   3     1 image    1280   720  icc     3   8  jpeg   yes       32  0   222   222  112K 4.1%
   4     2 image    2742  4561  icc     3   8  jpeg   yes       36  0   476   476 1154K 3.1%
   6     3 image    2710  1692  icc     3   8  jpeg   yes       45  0   470   471  466K 3.5%
   7     4 image    2960  1446  icc     3   8  jpeg   yes       49  0   514   514  375K 3.0%
   8     5 image    1882  1471  icc     3   8  jpeg   yes       53  0   220   220  450K 5.5%
   9     6 image    4534  4534  icc     3   8  image  yes       58  0   787   787  858K 1.4%
  10     7 image    4000  2250  icc     3   8  image  yes       62  0   693   693 1651K 6.3%
  11     8 image    1527   868  icc     3   8  image  yes       66  0   265   265  176K 4.5%
  11     9 smask    1527   868  gray    1   8  image  yes       66  0   265   265 5804B 0.4%
  12    10 image    1280   720  icc     3   8  image  yes       71  0   191   191 57.2K 2.1%
