level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3249	-1	
2	1	1	0	0	0	22	47	2282	3118	-1	
3	1	1	1	0	0	22	47	2282	3118	-1	
4	1	1	1	1	0	2071	47	229	19	-1	
5	1	1	1	1	1	2071	47	60	19	96	View
5	1	1	1	1	2	2138	47	76	19	96	Article
5	1	1	1	1	3	2223	47	77	19	96	Online
4	1	1	1	2	0	180	102	2122	33	-1	
5	1	1	1	2	1	180	102	73	27	96	RSC
5	1	1	1	2	2	267	102	180	27	96	Advances
5	1	1	1	2	3	2198	103	104	32	96	Paper
4	1	1	1	3	0	1716	236	294	14	-1	
5	1	1	1	3	1	1716	236	294	14	38	eee
5	1	1	1	3	2	1906	232	24	24	22	aa
4	1	1	1	4	0	464	213	1546	80	-1	
5	1	1	1	4	1	464	213	52	58	95	a
5	1	1	1	4	2	618	243	147	50	96	Control
5	1	1	1	4	3	976	247	15	31	96	1
5	1	1	1	4	4	1271	248	21	31	96	2
5	1	1	1	4	5	1500	249	138	32	46	CPFx-1
5	1	1	1	4	6	1716	250	5	39	33	:
5	1	1	1	4	7	1790	246	144	32	86	CPFx-2
5	1	1	1	4	8	1980	242	26	51	63	|;
4	1	1	1	5	0	580	301	1416	82	-1	
5	1	1	1	5	1	580	340	12	14	64	f
5	1	1	1	5	2	888	339	28	37	30	he
5	1	1	1	5	3	976	301	125	78	0	a.
5	1	1	1	5	4	1227	337	77	45	38	ron
5	1	1	1	5	5	1331	339	68	39	31	a
5	1	1	1	5	6	1639	340	145	40	0	Ai
5	1	1	1	5	7	1922	323	74	60	36	my
4	1	1	1	6	0	76	391	1926	51	-1	
5	1	1	1	6	1	76	407	16	29	56	=
5	1	1	1	6	2	503	399	32	37	31	3
5	1	1	1	6	3	864	410	71	30	24	“are
5	1	1	1	6	4	1067	415	25	23	27	eee
5	1	1	1	6	5	1117	408	5	34	86	||
5	1	1	1	6	6	1173	411	38	28	0	SDA
5	1	1	1	6	7	1274	403	33	43	9	en
5	1	1	1	6	8	1334	409	17	29	25	et
5	1	1	1	6	9	1697	391	11	43	19	i
5	1	1	1	6	10	1731	406	6	10	94	|
5	1	1	1	6	11	2000	415	2	18	66	}
4	1	1	1	7	0	68	463	1922	72	-1	
5	1	1	1	7	1	68	478	23	57	29	2
5	1	1	1	7	2	490	463	41	54	73	ui
5	1	1	1	7	3	931	478	152	55	28	eres
5	1	1	1	7	4	1097	471	28	57	76	|
5	1	1	1	7	5	1214	481	181	49	25	ae
5	1	1	1	7	6	1392	457	27	77	28	|
5	1	1	1	7	7	1418	457	14	77	89	|
5	1	1	1	7	8	1688	482	86	32	0	Ea
5	1	1	1	7	9	1960	483	30	45	50	}
4	1	1	1	8	0	76	551	1859	55	-1	
5	1	1	1	8	1	76	574	23	32	48	a
5	1	1	1	8	2	625	568	125	18	37	Ls
5	1	1	1	8	3	906	551	63	53	30	Ree
5	1	1	1	8	4	1213	567	63	19	52	—
5	1	1	1	8	5	1289	568	8	22	45	~
5	1	1	1	8	6	1504	553	74	52	12	———
5	1	1	1	8	7	1891	565	44	28	32	al
4	1	1	1	9	0	68	604	1799	37	-1	
5	1	1	1	9	1	68	604	19	37	42	YP
