level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3509	-1	
2	1	1	0	0	0	375	335	1731	2915	-1	
3	1	1	1	0	0	375	335	1731	2915	-1	
4	1	1	1	1	0	375	335	1731	41	-1	
5	1	1	1	1	1	375	335	93	32	95	After
5	1	1	1	1	2	494	337	18	30	95	7
5	1	1	1	1	3	540	336	88	40	96	days,
5	1	1	1	1	4	656	335	50	32	96	the
5	1	1	1	1	5	732	336	119	31	96	wound
5	1	1	1	1	6	878	335	114	32	96	tissues
5	1	1	1	1	7	1018	346	84	21	96	were
5	1	1	1	1	8	1130	335	129	32	96	excised
5	1	1	1	1	9	1286	336	61	31	96	and
5	1	1	1	1	10	1374	335	87	32	94	fixed
5	1	1	1	1	11	1488	335	33	31	96	in
5	1	1	1	1	12	1552	336	73	31	95	10%
5	1	1	1	1	13	1653	335	148	32	96	formalin
5	1	1	1	1	14	1826	335	107	32	96	buffer
5	1	1	1	1	15	1959	340	30	26	96	at
5	1	1	1	1	16	2013	346	93	21	96	room
4	1	1	1	2	0	376	418	1728	41	-1	
5	1	1	1	2	1	376	423	206	35	96	temperature
5	1	1	1	2	2	602	418	49	32	96	for
5	1	1	1	2	3	669	419	42	30	93	24
5	1	1	1	2	4	729	418	29	32	92	h.
5	1	1	1	2	5	779	418	129	41	96	Finally,
5	1	1	1	2	6	927	418	51	32	96	the
5	1	1	1	2	7	997	418	115	32	96	tissues
5	1	1	1	2	8	1129	429	84	21	96	were
5	1	1	1	2	9	1233	419	177	31	96	embedded
5	1	1	1	2	10	1428	418	34	31	96	in
5	1	1	1	2	11	1478	418	138	40	96	paraffin
5	1	1	1	2	12	1634	423	31	27	96	to
5	1	1	1	2	13	1683	429	130	29	96	prepare
5	1	1	1	2	14	1832	418	51	32	96	the
5	1	1	1	2	15	1902	418	202	41	96	histological
4	1	1	1	3	0	377	502	1725	38	-1	
5	1	1	1	3	1	377	502	148	38	96	sections,
5	1	1	1	3	2	541	503	61	31	96	and
5	1	1	1	3	3	616	502	51	32	95	the
5	1	1	1	3	4	683	502	138	32	96	sections
5	1	1	1	3	5	834	513	84	21	96	were
5	1	1	1	3	6	934	502	121	32	96	stained
5	1	1	1	3	7	1068	502	78	32	96	with
5	1	1	1	3	8	1160	503	91	31	96	H&E
5	1	1	1	3	9	1266	503	61	31	93	and
5	1	1	1	3	10	1341	503	163	31	92	Masson’s
5	1	1	1	3	11	1519	502	181	32	91	Trichrome
5	1	1	1	3	12	1716	502	50	32	96	for
5	1	1	1	3	13	1778	503	100	31	96	better
5	1	1	1	3	14	1891	502	211	32	96	observation.
4	1	1	1	4	0	376	585	894	41	-1	
5	1	1	1	4	1	376	585	65	32	96	The
5	1	1	1	4	2	455	585	101	41	96	major
5	1	1	1	4	3	568	596	114	30	96	organs
5	1	1	1	4	4	693	596	85	21	96	were
5	1	1	1	4	5	791	585	155	32	96	collected
5	1	1	1	4	6	960	585	50	32	95	for
5	1	1	1	4	7	1021	586	90	31	96	H&E
5	1	1	1	4	8	1126	585	144	41	96	staining.
4	1	1	1	5	0	377	669	430	40	-1	
5	1	1	1	5	1	377	669	75	31	70	S18.
5	1	1	1	5	2	467	669	182	31	96	Statistical
5	1	1	1	5	3	662	669	145	40	96	analysis
4	1	1	1	6	0	375	752	1730	40	-1	
5	1	1	1	6	1	375	752	55	31	95	All
5	1	1	1	6	2	445	752	51	32	95	the
5	1	1	1	6	3	513	753	71	31	96	data
5	1	1	1	6	4	599	763	84	21	96	were
5	1	1	1	6	5	701	753	169	39	96	expressed
5	1	1	1	6	6	886	763	34	21	96	as
5	1	1	1	6	7	936	752	51	32	96	the
5	1	1	1	6	8	1003	763	95	21	96	mean
5	1	1	1	6	9	1112	757	23	23	94	+
5	1	1	1	6	10	1152	753	145	31	96	standard
5	1	1	1	6	11	1313	752	169	32	96	deviation.
5	1	1	1	6	12	1500	752	66	32	96	The
5	1	1	1	6	13	1584	752	121	40	95	sample
5	1	1	1	6	14	1720	753	134	31	92	number
5	1	1	1	6	15	1869	753	48	39	92	(n)
5	1	1	1	6	16	1934	753	171	39	96	expressed
4	1	1	1	7	0	376	835	1729	41	-1	
5	1	1	1	7	1	376	835	50	32	96	the
5	1	1	1	7	2	444	836	135	31	96	number
5	1	1	1	7	3	595	835	40	32	96	of
5	1	1	1	7	4	649	835	78	32	96	each
5	1	1	1	7	5	744	835	175	32	96	individual
5	1	1	1	7	6	938	835	195	40	96	experiment
5	1	1	1	7	7	1151	835	147	40	96	samples.
5	1	1	1	7	8	1320	835	168	32	96	Statistical
5	1	1	1	7	9	1506	835	219	40	96	comparisons
5	1	1	1	7	10	1742	836	147	31	96	between
5	1	1	1	7	11	1906	840	63	27	96	two
5	1	1	1	7	12	1987	846	118	30	96	groups
4	1	1	1	8	0	375	918	1731	41	-1	
5	1	1	1	8	1	375	929	84	21	96	were
5	1	1	1	8	2	479	918	181	40	96	performed
5	1	1	1	8	3	679	918	94	41	96	using
5	1	1	1	8	4	795	919	124	31	96	student
5	1	1	1	8	5	939	923	86	27	96	t-test
5	1	1	1	8	6	1046	919	61	31	96	and
5	1	1	1	8	7	1128	929	87	21	96	more
5	1	1	1	8	8	1236	918	75	31	96	than
5	1	1	1	8	9	1330	918	85	32	96	three
5	1	1	1	8	10	1436	929	117	30	95	groups
5	1	1	1	8	11	1572	929	85	21	96	were
5	1	1	1	8	12	1678	918	195	32	96	determined
5	1	1	1	8	13	1892	919	44	40	96	by
5	1	1	1	8	14	1956	929	150	30	95	one-way
4	1	1	1	9	0	375	1002	1730	41	-1	
5	1	1	1	9	1	375	1003	161	37	96	ANOVA,
5	1	1	1	9	2	555	1002	167	41	96	analyzing
5	1	1	1	9	3	737	1003	44	40	96	by
5	1	1	1	9	4	798	1002	173	40	96	GraphPad
5	1	1	1	9	5	987	1002	101	32	96	Prism
5	1	1	1	9	6	1105	1003	18	31	95	9
5	1	1	1	9	7	1141	1002	158	32	96	software.
5	1	1	1	9	8	1319	1002	214	41	96	Significance
5	1	1	1	9	9	1551	1002	27	32	97	is
5	1	1	1	9	10	1595	1002	158	32	96	indicated
5	1	1	1	9	11	1769	1003	44	40	93	by
5	1	1	1	9	12	1828	1004	22	29	93	P
5	1	1	1	9	13	1865	1002	110	32	93	values
5	1	1	1	9	14	1993	1003	71	39	92	(n.s.
5	1	1	1	9	15	2082	1008	23	21	97	>
4	1	1	1	10	0	377	1086	852	39	-1	
5	1	1	1	10	1	377	1086	84	37	89	0.05,
5	1	1	1	10	2	477	1086	63	30	81	**P
5	1	1	1	10	3	552	1091	23	21	81	<
5	1	1	1	10	4	589	1086	83	37	93	0.01,
5	1	1	1	10	5	688	1086	85	30	85	***P
5	1	1	1	10	6	785	1091	23	21	85	<
5	1	1	1	10	7	822	1086	105	37	93	0.001,
5	1	1	1	10	8	943	1086	108	30	90	****P
5	1	1	1	10	9	1062	1086	167	39	80	<0.0001).
4	1	1	1	11	0	377	1217	392	40	-1	
5	1	1	1	11	1	377	1217	75	31	93	S19.
5	1	1	1	11	2	467	1217	208	40	95	Supporting
5	1	1	1	11	3	689	1218	80	30	96	data
4	1	1	1	12	0	377	1296	1500	41	-1	
5	1	1	1	12	1	377	1298	99	30	93	Table
5	1	1	1	12	2	490	1297	54	31	92	S1.
5	1	1	1	12	3	554	1296	228	32	96	Antibacterial
5	1	1	1	12	4	795	1296	129	41	96	activity
5	1	1	1	12	5	936	1296	40	32	96	of
5	1	1	1	12	6	985	1296	230	32	96	antimicrobial
5	1	1	1	12	7	1227	1296	145	40	96	peptides
5	1	1	1	12	8	1386	1296	122	41	93	against
5	1	1	1	12	9	1518	1298	34	29	55	E.
5	1	1	1	12	10	1569	1297	65	31	77	coli
5	1	1	1	12	11	1647	1297	60	31	93	and
5	1	1	1	12	12	1720	1297	157	31	92	S.aureus.
4	1	1	1	13	0	508	1404	1548	48	-1	
5	1	1	1	13	1	508	1404	129	48	96	Peptide
5	1	1	1	13	2	857	1409	81	31	93	MIC
5	1	1	1	13	3	949	1410	34	29	90	E.
5	1	1	1	13	4	999	1409	65	31	92	coli
5	1	1	1	13	5	1077	1408	144	41	92	(ug/mL)
5	1	1	1	13	6	1341	1409	81	31	90	MIC
5	1	1	1	13	7	1436	1409	27	31	86	S.
5	1	1	1	13	8	1479	1420	116	20	93	aureus
5	1	1	1	13	9	1609	1408	144	41	82	(ug/mL)
5	1	1	1	13	10	1880	1408	176	32	96	Reference
4	1	1	1	14	0	506	1524	1552	49	-1	
5	1	1	1	14	1	506	1524	133	49	92	CPFx-2
5	1	1	1	14	2	1002	1529	74	31	94	2.52
5	1	1	1	14	3	1510	1529	74	31	96	5.04
5	1	1	1	14	4	1879	1528	77	32	96	This
5	1	1	1	14	5	1967	1528	91	32	96	work
4	1	1	1	15	0	487	1637	1491	50	-1	
5	1	1	1	15	1	487	1637	168	50	90	PapMA-3
5	1	1	1	15	2	1023	1643	34	31	96	16
5	1	1	1	15	3	1527	1643	40	31	96	32
5	1	1	1	15	4	1958	1643	20	30	96	4
4	1	1	1	16	0	508	1751	1468	50	-1	
5	1	1	1	16	1	508	1751	126	50	91	KW-13
5	1	1	1	16	2	1019	1757	38	31	96	64
5	1	1	1	16	3	1531	1757	34	31	96	16
