level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4961	1950	-1	
2	1	1	0	0	0	45	0	4541	1950	-1	
3	1	1	1	0	0	46	0	3810	270	-1	
4	1	1	1	1	0	47	0	3394	41	-1	
5	1	1	1	1	1	66	0	13	47	47	Oo
5	1	1	1	1	2	1023	0	48	26	35	SS
5	1	1	1	1	3	1115	0	158	41	4	Morea
5	1	1	1	1	4	1561	3	82	35	22	fey
5	1	1	1	1	5	1621	0	24	48	0	Hi
5	1	1	1	1	6	1691	0	73	42	43	We
5	1	1	1	1	7	1778	5	15	31	17	2.
5	1	1	1	1	8	1805	1	60	40	13	Se
5	1	1	1	1	9	1901	0	48	48	18	ee
5	1	1	1	1	10	2186	32	8	6	14	Pe
5	1	1	1	1	11	2239	5	1	28	21	A
5	1	1	1	1	12	2262	0	30	46	17	Wi
5	1	1	1	1	13	2298	3	31	30	1	te
5	1	1	1	1	14	2381	7	112	34	0	ROCIOE
5	1	1	1	1	15	2493	9	95	32	15	eet
5	1	1	1	1	16	2591	2	93	39	0	srrte,
5	1	1	1	1	17	2745	4	35	36	30	hee
5	1	1	1	1	18	3015	2	9	10	0	:
5	1	1	1	1	19	3142	13	9	9	69	°
5	1	1	1	1	20	3420	0	21	37	6	i
4	1	1	1	2	0	46	20	3375	70	-1	
5	1	1	1	2	1	46	21	46	45	79	2
5	1	1	1	2	2	151	33	33	29	76	9
5	1	1	1	2	3	1056	57	13	15	29	.
5	1	1	1	2	4	1147	22	29	52	0	%
5	1	1	1	2	5	1207	41	44	37	0	“sa
5	1	1	1	2	6	1553	39	55	36	15	had
5	1	1	1	2	7	1711	41	187	35	15	Cae
5	1	1	1	2	8	2101	36	125	40	37	eee)
5	1	1	1	2	9	2299	37	55	30	23	Aer
5	1	1	1	2	10	2449	33	181	45	41	ey
5	1	1	1	2	11	2646	29	77	49	19	Rs
5	1	1	1	2	12	2722	28	33	62	30	be
5	1	1	1	2	13	2805	20	26	57	0	1
5	1	1	1	2	14	2890	29	25	35	29	\
5	1	1	1	2	15	3064	57	9	9	1	.
5	1	1	1	2	16	3381	38	40	32	2	|
4	1	1	1	3	0	47	5	3357	184	-1	
5	1	1	1	3	1	47	72	45	60	61	=
5	1	1	1	3	2	139	67	43	73	0	S
5	1	1	1	3	3	1016	70	59	87	23	2)
5	1	1	1	3	4	1152	5	122	148	14	AN
5	1	1	1	3	5	1287	97	24	32	0	*
5	1	1	1	3	6	1510	15	129	126	37	ff
5	1	1	1	3	7	1713	78	76	62	44	QE
5	1	1	1	3	8	1790	81	268	53	38	Seo
5	1	1	1	3	9	2085	79	122	58	41	ey
5	1	1	1	3	10	2321	52	251	93	20	aoe
5	1	1	1	3	11	2623	87	47	36	38	at
5	1	1	1	3	12	2700	56	79	133	0	yy
5	1	1	1	3	13	2915	57	54	87	80	N
5	1	1	1	3	14	3234	81	8	10	0	ees
5	1	1	1	3	15	3343	79	61	103	54	A,
4	1	1	1	4	0	47	97	3698	173	-1	
5	1	1	1	4	1	47	157	45	113	62	©
5	1	1	1	4	2	139	176	43	67	81	Z
5	1	1	1	4	3	1267	188	188	34	14	<u
5	1	1	1	4	4	1773	154	17	66	25	‘x
5	1	1	1	4	5	1906	185	148	47	35	REO
5	1	1	1	4	6	2388	97	330	146	27	ae
5	1	1	1	4	7	2966	134	119	95	30	Qe
5	1	1	1	4	8	3256	157	18	72	42	fA
5	1	1	1	4	9	3597	195	148	46	21	——
3	1	1	2	0	0	45	241	3961	622	-1	
4	1	1	2	1	0	160	241	3846	40	-1	
5	1	1	2	1	1	160	241	11	40	48	Cc
5	1	1	2	1	2	3465	254	49	9	14	oe
5	1	1	2	1	3	3521	254	49	9	41	ee
5	1	1	2	1	4	3572	241	22	29	8	ee
5	1	1	2	1	5	3596	241	27	29	41	Oe
5	1	1	2	1	6	3629	254	49	8	46	ee
5	1	1	2	1	7	3678	241	28	29	34	Oe
5	1	1	2	1	8	3705	241	27	29	35	Oe
5	1	1	2	1	9	3731	241	29	29	13	Oe
5	1	1	2	1	10	3763	241	22	29	29	Oe
5	1	1	2	1	11	3787	241	27	29	25	Oe
5	1	1	2	1	12	3818	241	23	29	11	ee
5	1	1	2	1	13	3845	241	22	29	23	oe
