level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2400	750	-1	
2	1	1	0	0	0	45	0	2352	750	-1	
3	1	1	1	0	0	45	0	2355	750	-1	
4	1	1	1	1	0	1165	0	1232	99	-1	
5	1	1	1	1	1	1211	0	19	13	15	noe
5	1	1	1	1	2	1272	3	40	16	45	a
5	1	1	1	1	3	1323	4	41	22	31	SY
5	1	1	1	1	4	1418	8	2	2	47	¢
5	1	1	1	1	5	1451	26	5	15	0	;
5	1	1	1	1	6	1472	8	68	34	32	ite
5	1	1	1	1	7	1552	31	22	12	0	P/HA
5	1	1	1	1	8	1741	26	19	25	0	LS
5	1	1	1	1	9	1789	32	30	21	42	ae
5	1	1	1	1	10	1834	36	28	39	19	is.
5	1	1	1	1	11	1880	42	111	41	19	Pa
5	1	1	1	1	12	2009	60	81	36	22	ea
5	1	1	1	1	13	2136	60	27	26	25	fa
5	1	1	1	1	14	2378	74	19	25	0	~
4	1	1	1	2	0	1007	0	1243	155	-1	
5	1	1	1	2	1	1007	0	61	27	0	-
5	1	1	1	2	2	1685	0	319	145	33	a
5	1	1	1	2	3	2016	0	234	155	8	24
4	1	1	1	3	0	61	0	1394	115	-1	
5	1	1	1	3	1	61	0	17	1	48	i
5	1	1	1	3	2	146	0	31	5	57	§
5	1	1	1	3	3	1275	80	180	35	37	Soe
4	1	1	1	4	0	47	9	1331	118	-1	
5	1	1	1	4	1	47	9	45	42	20	=
5	1	1	1	4	2	151	9	28	31	6	S
5	1	1	1	4	3	1322	110	2	4	31	eee
4	1	1	1	5	0	47	40	131	48	-1	
5	1	1	1	5	1	47	57	44	31	94	+
5	1	1	1	5	2	157	40	21	40	39	oO
4	1	1	1	6	0	47	76	136	60	-1	
5	1	1	1	6	1	47	108	45	28	0	»
4	1	1	1	7	0	165	125	5	18	-1	
5	1	1	1	7	1	165	125	5	18	84	I
4	1	1	1	8	0	47	143	1000	178	-1	
5	1	1	1	8	1	47	143	137	67	15	28
5	1	1	1	8	2	937	165	110	156	91	b
4	1	1	1	9	0	47	209	2265	227	-1	
5	1	1	1	9	1	47	209	137	72	36	7
5	1	1	1	9	2	1149	296	32	58	46	-
5	1	1	1	9	3	2106	364	206	72	96	E.coli
4	1	1	1	10	0	47	260	45	28	-1	
5	1	1	1	10	1	47	260	45	28	36	oY)
4	1	1	1	11	0	137	285	47	31	-1	
5	1	1	1	11	1	137	285	47	31	51	2
4	1	1	1	12	0	47	296	2350	239	-1	
5	1	1	1	12	1	47	296	136	59	6	a
5	1	1	1	12	2	2107	460	290	75	11	S.aureu:
4	1	1	1	13	0	47	344	137	48	-1	
5	1	1	1	13	1	47	344	137	48	61	Tos
4	1	1	1	14	0	2197	573	102	57	-1	
5	1	1	1	14	1	2197	573	102	57	96	1.5
4	1	1	1	15	0	45	477	1082	106	-1	
5	1	1	1	15	1	45	477	138	39	72	Zs
5	1	1	1	15	2	1010	552	117	31	50	_
4	1	1	1	16	0	59	512	125	37	-1	
5	1	1	1	16	1	59	512	125	37	93	vo
4	1	1	1	17	0	45	540	1056	151	-1	
5	1	1	1	17	1	45	540	138	113	0	e3
5	1	1	1	17	2	1032	594	69	97	0	£
4	1	1	1	18	0	45	637	1058	113	-1	
5	1	1	1	18	1	45	637	139	50	48	ES
5	1	1	1	18	2	1017	687	86	63	14	«>
4	1	1	1	19	0	60	688	124	48	-1	
5	1	1	1	19	1	60	688	124	48	57	=O
