level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4111	1200	-1	
2	1	1	0	0	0	158	2	3004	1172	-1	
3	1	1	1	0	0	160	2	3002	1172	-1	
4	1	1	1	1	0	160	2	1289	140	-1	
5	1	1	1	1	1	160	2	117	140	24	©
5	1	1	1	1	2	1347	23	102	58	96	1.5
4	1	1	1	2	0	160	152	1729	140	-1	
5	1	1	1	2	1	160	152	117	102	24	s
5	1	1	1	2	2	1671	159	218	133	54	=n
4	1	1	1	3	0	158	266	1632	102	-1	
5	1	1	1	3	1	158	268	81	80	35	See
5	1	1	1	3	2	747	266	90	80	95	1.1
5	1	1	1	3	3	1047	266	90	80	95	1.1
5	1	1	1	3	4	1696	307	94	61	69	=
4	1	1	1	4	0	182	346	1528	91	-1	
5	1	1	1	4	1	182	346	71	62	74	®
5	1	1	1	4	2	302	378	27	59	96	1
5	1	1	1	4	3	1686	375	24	45	9	=—
4	1	1	1	5	0	190	384	1370	77	-1	
5	1	1	1	5	1	190	384	38	75	48	—_
5	1	1	1	5	2	1456	402	104	59	96	0.9
4	1	1	1	6	0	182	448	2191	91	-1	
5	1	1	1	6	1	182	460	71	62	5	@
5	1	1	1	6	2	1669	460	96	79	62	©
5	1	1	1	6	3	1993	448	61	80	96	12.
5	1	1	1	6	4	2296	469	77	45	96	12.
4	1	1	1	7	0	182	521	1583	108	-1	
5	1	1	1	7	1	182	531	69	98	73	=
5	1	1	1	7	2	856	521	103	80	95	0.7
5	1	1	1	7	3	1156	521	103	80	95	0.7
5	1	1	1	7	4	1672	551	93	21	85	—
4	1	1	1	8	0	1672	589	217	89	-1	
5	1	1	1	8	1	1672	589	93	89	81	=>
5	1	1	1	8	2	1811	599	78	57	96	10
4	1	1	1	9	0	165	709	2659	117	-1	
5	1	1	1	9	1	165	709	60	117	67	QO
5	1	1	1	9	2	446	710	214	79	96	0.40.4
5	1	1	1	9	3	2711	736	113	44	93	6.25
4	1	1	1	10	0	3015	868	112	45	-1	
5	1	1	1	10	1	3015	868	112	45	96	3.13
4	1	1	1	11	0	2601	936	413	46	-1	
5	1	1	1	11	1	2601	936	110	46	96	1.56
5	1	1	1	11	2	2905	936	109	46	96	1.56
4	1	1	1	12	0	300	1010	1589	74	-1	
5	1	1	1	12	1	300	1010	33	59	94	0
5	1	1	1	12	2	858	1018	9	13	37	=
5	1	1	1	12	3	1260	1023	3	9	19	:
5	1	1	1	12	4	1850	1026	39	58	85	0
4	1	1	1	13	0	536	1106	2626	68	-1	
5	1	1	1	13	1	536	1107	28	62	96	1
5	1	1	1	13	2	832	1107	41	62	75	2
5	1	1	1	13	3	1011	1106	272	63	43	CPFx-1
5	1	1	1	13	4	1312	1106	281	63	81	CPFx-2
5	1	1	1	13	5	2091	1111	28	63	96	1
5	1	1	1	13	6	2390	1111	42	63	86	2
5	1	1	1	13	7	2573	1109	589	65	56	CPFx-1CPFx-2
