level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4961	6497	-1	
2	1	1	0	0	0	31	95	4577	6236	-1	
3	1	1	1	0	0	45	95	4563	6236	-1	
4	1	1	1	1	0	4141	95	459	39	-1	
5	1	1	1	1	1	4141	96	121	38	96	View
5	1	1	1	1	2	4275	95	153	39	95	Article
5	1	1	1	1	3	4445	95	155	39	96	Online
4	1	1	1	2	0	361	203	4243	67	-1	
5	1	1	1	2	1	361	205	146	54	95	RSC
5	1	1	1	2	2	534	203	360	56	96	Advances
5	1	1	1	2	3	4395	206	209	64	96	Paper
4	1	1	1	3	0	3431	472	589	28	-1	
5	1	1	1	3	1	3431	472	589	28	27	ae.
5	1	1	1	3	2	3833	468	21	42	34	ex
4	1	1	1	4	0	928	427	3092	156	-1	
5	1	1	1	4	1	928	427	103	116	86	a
5	1	1	1	4	2	1237	489	294	94	96	Control
5	1	1	1	4	3	1953	494	28	63	96	1
5	1	1	1	4	4	2543	497	42	62	97	2
5	1	1	1	4	5	2999	498	278	64	67	CPFx-1
5	1	1	1	4	6	3431	501	10	77	63	:
5	1	1	1	4	7	3579	492	289	64	85	CPFx-2
5	1	1	1	4	8	4011	504	9	50	79	|
4	1	1	1	5	0	1133	674	2838	105	-1	
5	1	1	1	5	1	1133	715	24	44	12	y
5	1	1	1	5	2	1749	707	81	60	61	Ps
5	1	1	1	5	3	1860	727	21	25	20	ne
5	1	1	1	5	4	1938	725	2	2	34	Cex
5	1	1	1	5	5	2043	727	2	3	20	OPE
5	1	1	1	5	6	2150	707	55	66	0	of}
5	1	1	1	5	7	2356	729	29	41	9	tL
5	1	1	1	5	8	2427	719	209	45	15	Pie
5	1	1	1	5	9	2686	720	56	53	10	Pn
5	1	1	1	5	10	2789	721	15	28	0	.
5	1	1	1	5	11	2892	738	11	19	0	y
5	1	1	1	5	12	2911	674	66	87	77	li
5	1	1	1	5	13	3278	733	11	12	36	.
5	1	1	1	5	14	3364	722	13	21	0	.
5	1	1	1	5	15	3468	722	100	57	54	4~
5	1	1	1	5	16	3937	721	34	55	0	s\
4	1	1	1	6	0	153	757	3850	87	-1	
5	1	1	1	6	1	153	765	21	79	0	ov
5	1	1	1	6	2	1007	775	62	48	70	=
5	1	1	1	6	3	1071	766	46	68	68	7
5	1	1	1	6	4	1873	773	4	2	1	eee
5	1	1	1	6	5	2134	765	28	64	13	ee
5	1	1	1	6	6	2204	757	13	77	0	,
5	1	1	1	6	7	2279	827	2	6	75	|
5	1	1	1	6	8	2324	773	90	61	31	oes
5	1	1	1	6	9	2585	768	55	47	37	Ty
5	1	1	1	6	10	2681	767	91	61	17	ee
5	1	1	1	6	11	2915	785	46	30	22	iz
5	1	1	1	6	12	3394	784	15	46	16	MT
5	1	1	1	6	13	3971	768	32	57	42	\\
4	1	1	1	7	0	151	826	3853	61	-1	
5	1	1	1	7	1	151	843	32	31	58	5
5	1	1	1	7	2	1023	826	47	46	28	°
5	1	1	1	7	3	1719	832	150	55	0	aecs
5	1	1	1	7	4	1895	837	82	50	22	ee
5	1	1	1	7	5	2134	829	68	57	36	co
5	1	1	1	7	6	2347	834	447	52	16	RL
5	1	1	1	7	7	3408	836	46	33	0	T
5	1	1	1	7	8	3986	829	18	42	44	i
4	1	1	1	8	0	151	868	3303	71	-1	
5	1	1	1	8	1	151	878	33	54	0	U
5	1	1	1	8	2	1023	878	48	43	62	©
5	1	1	1	8	3	1129	900	3	34	63	|)
5	1	1	1	8	4	1716	886	61	53	50	|
5	1	1	1	8	5	1800	884	378	55	39	Seaton
5	1	1	1	8	6	2233	868	13	71	28	«46
5	1	1	1	8	7	3066	908	11	12	53	:
5	1	1	1	8	8	3412	905	42	30	20	i
4	1	1	1	9	0	139	928	3278	69	-1	
5	1	1	1	9	1	139	936	44	55	45	4
5	1	1	1	9	2	1056	954	13	14	44	:
5	1	1	1	9	3	1741	937	48	57	4	Pc
5	1	1	1	9	4	1809	928	442	68	0	Sateaeaneee
5	1	1	1	9	5	2217	924	74	86	71	||
5	1	1	1	9	6	2301	937	489	60	0	CRANES
5	1	1	1	9	7	2819	924	15	86	63	|
5	1	1	1	9	8	2840	924	30	86	86	|
5	1	1	1	9	9	2874	946	33	42	65	\
5	1	1	1	9	10	3390	948	27	49	24	i
5	1	1	1	9	11	3974	966	23	32	0	,
4	1	1	1	10	0	137	963	3388	108	-1	
5	1	1	1	10	1	137	1010	47	61	10	Z
5	1	1	1	10	2	994	963	75	98	21	Wa
5	1	1	1	10	3	1611	1016	27	32	62	A
5	1	1	1	10	4	1728	993	112	68	4	2
5	1	1	1	10	5	1858	990	160	76	21	Re
5	1	1	1	10	6	2053	995	189	71	24	ed
5	1	1	1	10	7	2303	993	2	3	20	A
5	1	1	1	10	8	2418	997	13	27	32	RR
5	1	1	1	10	9	3370	997	24	42	2	Ah
5	1	1	1	10	10	3920	992	52	64	0	y)
4	1	1	1	11	0	145	1062	3775	83	-1	
5	1	1	1	11	1	145	1074	39	71	48	5
5	1	1	1	11	2	1338	1065	2	2	87	|
5	1	1	1	11	3	1513	1073	69	57	0	-
5	1	1	1	11	4	1765	1064	99	57	26	‘i.
5	1	1	1	11	5	1926	1062	62	74	16	i
5	1	1	1	11	6	1997	1064	142	72	21	aoe
5	1	1	1	11	7	2384	1067	67	67	27	ok
5	1	1	1	11	8	2511	1065	63	69	31	a
5	1	1	1	11	9	2587	1072	188	64	37	mt”
5	1	1	1	11	10	2951	1077	115	59	44	Ne.
