paper_id	started_utc	finished_utc	returncode
PMC13036774	2026-07-16T08:07:28Z	2026-07-16T08:07:28Z	0
PMC13036000	2026-07-16T08:07:28Z	2026-07-16T08:07:28Z	0
PMC11735859	2026-07-16T08:07:28Z	2026-07-16T08:07:28Z	0
PMC13054752	2026-07-16T08:07:28Z	2026-07-16T08:07:29Z	0
PMC11752523	2026-07-16T08:07:29Z	2026-07-16T08:07:29Z	0
PMC11784053	2026-07-16T08:07:29Z	2026-07-16T08:07:29Z	0
PMC12229353	2026-07-16T08:07:29Z	2026-07-16T08:07:29Z	0
PMC12103485	2026-07-16T08:07:29Z	2026-07-16T08:07:30Z	0
PMC11531597	2026-07-16T08:07:30Z	2026-07-16T08:07:30Z	0
PMC11292031	2026-07-16T08:07:30Z	2026-07-16T08:07:30Z	0
PMC12144240	2026-07-16T08:07:30Z	2026-07-16T08:07:30Z	0
PMC12022103	2026-07-16T08:07:30Z	2026-07-16T08:07:30Z	0
PMC13013390	2026-07-16T08:07:30Z	2026-07-16T08:07:31Z	0
PMC13031788	2026-07-16T08:07:31Z	2026-07-16T08:07:31Z	0
PMC13031288	2026-07-16T08:07:31Z	2026-07-16T08:07:32Z	0
PMC12230126	2026-07-16T08:07:32Z	2026-07-16T08:07:32Z	0
