hardcase recovery: todo=263/283 | lanes=16
  ✓ doi__10.1016_j.cbpa.2017.02.006 [pdf]: 0 extracted
  ✓ doi__10.1016_s0041-0101(98)00226-8 [pdf]: 0 extracted
  ✓ doi__10.1016_j.toxicon.2007.04.027 [pdf]: 0 extracted
  ✓ doi__10.1007_s12602-014-9183-1 [pdf]: 0 extracted
  ✓ doi__10.1016_0378-1119(88)90199-0 [pdf]: 0 extracted
  ✓ doi__10.1016_j.dci.2006.07.006 [pdf]: 0 extracted
  ✓ doi__10.1016_0022-2836(92)90465-v [pdf]: 0 extracted
  ✓ doi__10.1021_bi047608v [pdf]: 0 extracted
  ✓ doi__10.1021_np100613p [pdf]: 0 extracted
  ✓ doi__10.1023_a_1010664704926 [pdf]: 0 extracted
  ✓ doi__10.1021_mp3007117 [pdf]: 4 extracted
  ✓ doi__10.1021_jm501367p [pdf]: 3 extracted
  ✓ doi__10.1021_acs.molpharmaceut.5b00113 [pdf]: 18 extracted
  ✓ doi__10.1016_j.peptides.2008.06.022 [pdf]: 18 extracted
  ✓ doi__10.1038_37052 [pdf]: 0 extracted
  ✓ doi__10.1038_ja.2012.19 [pdf]: 0 extracted
  ✓ doi__10.1038_emboj.2009.146 [pdf]: 0 extracted
  ✓ doi__10.1038_aja.2010.93 [pdf]: 0 extracted
  ✓ doi__10.1038_45471 [pdf]: 0 extracted
  ✓ doi__10.1038_414865a [pdf]: 0 extracted
  ✓ doi__10.1038_ja.2017.146 [pdf]: 0 extracted
  ✓ doi__10.1016_j.peptides.2018.01.007 [pdf]: 0 extracted
  ✓ doi__10.1016_j.bbrc.2006.12.173 [pdf]: 0 extracted
  ✓ doi__10.1021_acs.jmedchem.7b01831 [pdf]: 0 extracted
  ✓ doi__10.1016_j.peptides.2018.12.007 [pdf]: 0 extracted
  ✓ doi__10.1021_acs.jmedchem.0c00665 [pdf]: 0 extracted
  ✓ doi__10.1007_s10989-009-9170-7 [pdf]: 0 extracted
  ✓ doi__10.1007_s00726-014-1801-4 [pdf]: 0 extracted
  ✓ doi__10.1038_nature04406 [pdf]: 0 extracted
  ✓ doi__10.1038_nature02426 [pdf]: 0 extracted
  ✓ doi__10.1038_nature03466 [pdf]: 0 extracted
