11:16 done=266/431 extracted=1795 codex=1
11:20 done=286/431 extracted=1842 codex=1
11:23 done=297/431 extracted=1918 codex=0
11:26 done=327/431 extracted=1918 codex=2
11:30 done=351/431 extracted=1961 codex=3
11:33 done=374/431 extracted=2085 codex=2
11:36 done=390/431 extracted=2122 codex=1
11:40 done=408/431 extracted=2287 codex=1
11:43 done=419/431 extracted=2314 codex=1
11:46 done=429/431 extracted=2328 codex=0
11:50 done=431/431 extracted=2328 codex=0
11:53 done=431/431 extracted=2328 codex=0
11:56 done=431/431 extracted=2328 codex=0
12:00 done=431/431 extracted=2328 codex=0
12:03 done=431/431 extracted=2328 codex=0
12:06 done=431/431 extracted=2328 codex=0
12:10 done=431/431 extracted=2328 codex=0
12:13 done=431/431 extracted=2328 codex=0
12:16 done=431/431 extracted=2328 codex=0
12:20 done=431/431 extracted=2328 codex=0
12:23 done=431/431 extracted=2328 codex=0
12:26 done=431/431 extracted=2328 codex=0
12:30 FINISHED
