review_id	paper_id	reason
R167	doi__10.1021_acsomega.0c01462	cands=0
R168	doi__10.1021_acsomega.0c01462	cands=0
R010	doi__10.1038_s42003-022-04385-7	cands=0
R011	doi__10.1038_s42003-022-04385-7	cands=0
R012	doi__10.1038_s42003-022-04385-7	cands=0
R089	doi__10.1371_journal.pone.0018550	cands=0
R081	doi__10.1371_journal.pone.0018550	cands=0
R082	doi__10.1371_journal.pone.0018550	cands=0
R083	doi__10.1371_journal.pone.0018550	cands=0
R084	doi__10.1371_journal.pone.0018550	cands=0
R085	doi__10.1371_journal.pone.0018550	cands=0
R086	doi__10.1371_journal.pone.0018550	cands=0
R087	doi__10.1371_journal.pone.0018550	cands=0
R088	doi__10.1371_journal.pone.0018550	cands=0
R095	doi__10.1021_acs.jmedchem.7b01732	cands=0
R096	doi__10.1021_acs.jmedchem.7b01732	cands=0
R097	doi__10.1021_acs.jmedchem.7b01732	cands=0
R098	doi__10.1021_acs.jmedchem.7b01732	cands=0
R099	doi__10.1021_acs.jmedchem.7b01732	cands=0
R100	doi__10.1021_acs.jmedchem.7b01732	cands=0
R101	doi__10.1021_acs.jmedchem.7b01732	cands=0
R102	doi__10.1021_acs.jmedchem.7b01732	cands=0
R103	doi__10.1021_acs.jmedchem.7b01732	cands=0
R104	doi__10.1021_acs.jmedchem.7b01732	cands=0
R105	doi__10.1021_acs.jmedchem.7b01732	cands=0
R182	doi__10.1038_s41598-017-16784-6	cands=0
R068	doi__10.1038_srep24000	cands=0
R069	doi__10.1038_srep24000	cands=0
R070	doi__10.1038_srep24000	cands=0
R071	doi__10.1038_srep24000	cands=0
R072	doi__10.1038_srep24000	cands=0
R073	doi__10.1038_srep24000	cands=0
R185	doi__10.1038_srep24000	cands=0
R186	doi__10.1038_srep24000	cands=0
R187	doi__10.1038_srep24000	cands=0
R188	doi__10.1038_srep24000	cands=0
R142	doi__10.1038_srep39925	cands=0
R143	doi__10.1038_srep39925	cands=0
R162	doi__10.1038_srep44278	cands=0
R163	doi__10.1038_srep44278	cands=0
R189	doi__10.1042_bsr20180710	cands=0
R190	doi__10.1042_bsr20180710	cands=0
R191	doi__10.1042_bsr20180710	cands=0
R106	doi__10.1128_mbio.00226-19	cands=0
R150	doi__10.1155_2018_5252891	cands=0
R175	doi__10.1186_s12917-020-02620-z	cands=0
R192	doi__10.1186_s40409-017-0130-y	cands=0
R077	doi__10.1371_journal.pone.0058997	cands=0
R107	doi__10.1371_journal.pone.0114605	cands=0
R108	doi__10.1371_journal.pone.0114605	cands=0
R109	doi__10.1371_journal.pone.0114605	cands=0
R110	doi__10.1371_journal.pone.0114605	cands=0
R148	doi__10.1371_journal.pone.0162007	cands=0
R149	doi__10.1371_journal.pone.0162007	cands=0
R170	doi__10.3389_fcimb.2019.00048	cands=0
R158	doi__10.3389_fmicb.2016.02006	cands=0
R159	doi__10.3389_fmicb.2017.00761	cands=0
R160	doi__10.3389_fmicb.2017.00761	cands=0
R161	doi__10.3389_fmicb.2017.00761	cands=0
R151	doi__10.3389_fmicb.2019.01688	cands=0
R165	doi__10.3389_fphar.2018.01501	cands=0
R080	doi__10.3390_antibiotics9050243	cands=0
R124	doi__10.3390_ijms20174184	cands=0
R125	doi__10.3390_ijms20174184	cands=0
R177	doi__10.3390_ijms23158269	cands=0
R046	doi__10.3390_ijms232113316	cands=0
R171	doi__10.3390_md9010071	cands=0
R055	doi__10.3390_molecules18010859	cands=0
R172	doi__10.3390_molecules21020225	cands=0
R173	doi__10.3390_molecules21020225	cands=0
R139	doi__10.3390_molecules22091428	cands=0
R140	doi__10.3390_molecules22091428	cands=0
R141	doi__10.3390_molecules22091428	cands=0
R074	doi__10.3390_molecules24061121	cands=0
R157	doi__10.3390_ph7050502	cands=0
