paper_id	peptide	mic_value	mic_unit	mic_target	tox_endpoint	tox_value	tox_unit	ti	note
doi__10.1002_advs.202507457	Pep1	128.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	4.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep2	128.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	4.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep3	16.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	32.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep4	128.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	4.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep5	4.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	128.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep6	64.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	8.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep7	128.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	4.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep8	256.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	2.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep9	32.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	512.0	ug/mL	16.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_advs.202507457	Pep10	16.0	ug/mL	{"class":"bacteria","gram_status":"Gram-	CC50	256.0	ug/mL	16.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_cbic.202100151	Lynronne-1	32.0	ug/mL	{"full_species":"Acinetobacter baumannii	no_hemolysis_threshold	536.0	ug/mL	16.8	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_cbic.202100151	Lynronne-1 R4L S8L	8.0	ug/mL	{"full_species":"Acinetobacter baumannii	no_hemolysis_threshold	164.0	ug/mL	20.5	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_cbic.202100151	Lynronne-1 V15T	16.0	ug/mL	{"full_species":"Acinetobacter baumannii	no_hemolysis_threshold	1200.0	ug/mL	75.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_cbic.202100151	Lynronne-1 I10T V15T	256.0	ug/mL	{"full_species":"Acinetobacter baumannii	no_hemolysis_threshold	970.0	ug/mL	3.8	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_mlf2.12123	SF	2.0	uM	{"class":"bacteria","gram_status":"Gram-	MHC	128.0	uM	64.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_mlf2.12123	SFR	2.0	uM	{"class":"bacteria","gram_status":"Gram-	MHC	128.0	uM	64.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_mlf2.12123	SFK	2.0	uM	{"class":"bacteria","gram_status":"Gram-	MHC	128.0	uM	64.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_mlf2.12123	SFR2	1.0	uM	{"class":"bacteria","gram_status":"Gram-	MHC	128.0	uM	128.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_mlf2.12123	SFK2	2.0	uM	{"class":"bacteria","gram_status":"Gram-	MHC	128.0	uM	64.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_mlf2.12123	SFR3	4.0	uM	{"class":"bacteria","gram_status":"Gram-	MHC	128.0	uM	32.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1002_mlf2.12123	SFK3	1.0	uM	{"class":"bacteria","gram_status":"Gram-	MHC	128.0	uM	128.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s00018-022-04440-w	CD4-PP	0.312	uM	{"gram_status":"Gram-negative","raw_targ	uroepithelial_cell_cytotoxic_e	50.0	uM	160.3	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s00726-012-1388-6	(KW)2	50.0	uM	{"class":"bacteria","species":"S. typhim	MHC	550.0	uM	11.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s00726-012-1388-6	(KW)3	3.12	uM	{"class":"bacteria","species":"S. typhim	MHC	350.0	uM	112.2	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s00726-012-1388-6	(KW)4	1.56	uM	{"class":"bacteria","species":"S. typhim	MHC	210.0	uM	134.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s00726-012-1388-6	(KW)5	3.12	uM	{"class":"bacteria","species":"L. monocy	MHC	50.0	uM	16.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s12602-025-10542-1	BLP- 7S	2.0	uM	{"database_subject_label":"Escherichia c	HC50	111.9	uM	56.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s12602-025-10542-1	BH2L	2.0	uM	{"database_subject_label":"Staphylococcu	HC50	17.2	uM	8.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K7D	0.25	uM	{"class":"Gram-positive bacterium","spec	MHC	10.41	uM	41.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K14D	0.25	uM	{"class":"Gram-positive bacterium","spec	MHC	5.2	uM	20.8	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K22D	0.5	uM	{"class":"Gram-positive bacterium","spec	MHC	20.81	uM	41.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K7D/K14D	0.5	uM	{"class":"Gram-positive bacterium","spec	MHC	20.81	uM	41.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K14D/K22D	0.5	uM	{"class":"Gram-positive bacterium","spec	MHC	20.81	uM	41.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K7D/K14D/K22D	0.5	uM	{"class":"Gram-positive bacterium","spec	MHC	81.31	uM	162.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K7D/K10D/K14D/K22D	0.5	uM	{"class":"Gram-positive bacterium","spec	MHC	325.2	uM	650.4	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K3D/K7D/K10D/K14D/K22D	2.0	uM	{"class":"Gram-positive bacterium","spec	MHC	325.2	uM	162.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	K1D/K3D/K7D/K10D/K14D/K22D	0.5	uM	{"class":"Gram-positive bacterium","spec	MHC	325.2	uM	650.4	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	L6D	1.0	uM	{"class":"Gram-negative bacterium","spec	MHC	10.41	uM	10.4	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	L12D	1.0	uM	{"class":"Gram-negative bacterium","spec	MHC	20.81	uM	20.8	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	L20D	1.0	uM	{"class":"Gram-negative bacterium","spec	MHC	20.81	uM	20.8	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	L6D/L12D	1.0	uM	{"class":"Gram-positive bacterium","spec	MHC	20.81	uM	20.8	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	L12D/L20D	0.25	uM	{"class":"Gram-positive bacterium","spec	MHC	81.31	uM	325.2	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	L6D/L12D/L20D	0.25	uM	{"class":"Gram-positive bacterium","spec	MHC	162.61	uM	650.4	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	L6D/L12D/L17D/L20D	0.5	uM	{"class":"Gram-positive bacterium","spec	MHC	81.3	uM	162.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1007_s13238-014-0061-0	L6D/L12D/L17D/L20D/L21D	0.5	uM	{"class":"Gram-positive bacterium","spec	MHC	325.2	uM	650.4	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.biomaterials.2013.12.049	Thymopentin, TP-5	1000.0	ug/mL	{"full_species":"Mycobacterium smegmatis	HC50	2000.0	ug/mL	2.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.biomaterials.2013.12.049	RR-6	125.0	ug/mL	{"full_species":"Mycobacterium smegmatis	HC50	2000.0	ug/mL	16.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.biomaterials.2013.12.049	Thymopentin + 6R, RR-11	125.0	ug/mL	{"full_species":"Mycobacterium smegmatis	HC50	2000.0	ug/mL	16.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.biomaterials.2013.12.049	6R + Thymopentin, RY-11	125.0	ug/mL	{"full_species":"Mycobacterium smegmatis	HC50	2000.0	ug/mL	16.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2021.08.039	GV30	2.0	uM	{"class":"bacteria","source_label":"S. a	HC50	95.75	uM	47.9	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2021.08.039	GV23	2.0	uM	{"class":"bacteria","source_label":"S. a	HC50	115.29	uM	57.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2021.08.039	GV21	2.0	uM	{"class":"bacteria","source_label":"S. a	HC50	204.52	uM	102.3	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2021.08.039	GV20	4.0	uM	{"class":"bacteria","source_label":"S. a	HC50	179.84	uM	45.0	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2023.11.031	B1LTe	1.0	uM	{"class":"bacterium","database_subject_a	HC50	6.4	uM	6.4	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2023.11.031	D-L	1.0	uM	{"class":"bacterium","database_subject_a	HC50	11.6	uM	11.6	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2023.11.031	9 L	4.0	uM	{"class":"bacterium","database_subject_a	HC50	12.3	uM	3.1	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2023.11.031	D-9 L	2.0	uM	{"class":"bacterium","database_subject_a	HC50	27.8	uM	13.9	TI = median toxicity_conc / min_MIC (same unit family)
doi__10.1016_j.csbj.2023.11.031	9L10L	2.0	uM	{"class":"bacterium","database_subject_a	HC50	42.9	uM	21.4	TI = median toxicity_conc / min_MIC (same unit family)
