paper_id,run_base,lane,terminal_status,result_status,result_category,result_reason_code,refined_status,refined_category,refined_reason_code,recommended_next_action,attempt_count,worker_infra_retry_count,worker_infra_retry_exhausted,gap_codes,worker_infra_reason_codes,lane_generated_at,lane_summary
doi__10.3389_fmicb.2016.01682,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1_with_infra_retry,accepted_after_rework_with_infra_noise,strict_gates_passed_after_single_rework_with_infra_retry,sample_audit_plus_infra_log_check,1,4,False,,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2016.01801,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2016.01844,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,exact_figure_point_values_not_text_recoverable;landing_bin_files_are_publisher_html_not_extra_tables,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2016.02006,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2017.00051,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,database_external_activity_values_not_in_primary_paper;supplementary_assets_html_landing_pages_only,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2017.00123,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2017.00273,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,supplementary_captures_no_structured_assay_tables,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2017.00544,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2017.00628,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2017.00761,next100_10lane_20260506T153312Z,1,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T21:43:06Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane01_latest.json
doi__10.3389_fmicb.2017.00774,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1_with_infra_retry,accepted_after_rework_with_infra_noise,strict_gates_passed_after_single_rework_with_infra_retry,sample_audit_plus_infra_log_check,1,4,False,comparator_exact_sequences_not_printed_as_current_article_text;html_landing_supplement_assets_not_extra_data_tables;no_current_paper_host_toxicity_assay,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2017.00775,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2017.00984,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2017.00994,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2018.00320,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2018.00325,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,bmap28_exact_primary_sequence_not_printed_in_current_article;figure4_exact_hemolysis_percent_not_numeric_table_recoverable,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2018.00329,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2018.00393,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2018.00541,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1_with_infra_retry,accepted_after_rework_with_infra_noise,strict_gates_passed_after_single_rework_with_infra_retry,sample_audit_plus_infra_log_check,1,1,False,,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2018.00667,next100_10lane_20260506T153312Z,2,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1,accepted_after_rework,strict_gates_passed_after_single_rework,sample_audit_only,1,0,False,,,2026-05-06T22:16:11Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane02_latest.json
doi__10.3389_fmicb.2018.01030,next100_10lane_20260506T153312Z,3,accepted_after_rework,accepted_after_rework,accepted,strict_gates_passed,accepted_after_rework_attempt1_with_infra_retry,accepted_after_rework_with_infra_noise,strict_gates_passed_after_single_rework_with_infra_retry,sample_audit_plus_infra_log_check,1,2,False,,,2026-05-06T22:16:36Z,/root/work/抗菌肽/数据库/batch/4-team/reports/true_rework_queue_next100_10lane_20260506T153312Z_lane03_latest.json
