database,difference_category,count
APD6,activity_value_or_unit,2024
APD6,database_only_no_primary_source,355
APD6,mechanism_or_claim_scope,256
APD6,other,49
APD6,row_granularity,204
APD6,sequence_or_modification,2035
APD6,target_or_organism,335
APD6,unresolved_or_missing_material,24
CAMP,activity_value_or_unit,2804
CAMP,database_only_no_primary_source,594
CAMP,mechanism_or_claim_scope,28
CAMP,row_granularity,900
CAMP,sequence_or_modification,2451
CAMP,target_or_organism,856
CAMP,unresolved_or_missing_material,74
DBAASP,activity_value_or_unit,121142
DBAASP,database_only_no_primary_source,5868
DBAASP,mechanism_or_claim_scope,2381
DBAASP,other,536
DBAASP,row_granularity,5465
DBAASP,sequence_or_modification,108657
DBAASP,target_or_organism,54540
DBAASP,unresolved_or_missing_material,1373
DRAMP,activity_value_or_unit,7676
DRAMP,database_only_no_primary_source,786
DRAMP,mechanism_or_claim_scope,675
DRAMP,other,196
DRAMP,row_granularity,784
DRAMP,sequence_or_modification,6951
DRAMP,target_or_organism,2657
DRAMP,unresolved_or_missing_material,130
dbAMP,activity_value_or_unit,1895
dbAMP,database_only_no_primary_source,516
dbAMP,mechanism_or_claim_scope,31
dbAMP,row_granularity,570
dbAMP,sequence_or_modification,1671
dbAMP,target_or_organism,682
dbAMP,unresolved_or_missing_material,64
unknown,activity_value_or_unit,6
unknown,sequence_or_modification,1
