database,status,count
APD6,database_only_no_primary_source,195
APD6,sequence_modified_not_normalized,114
APD6,source_conflict,438
APD6,source_verified,1536
CAMP,database_only_no_primary_source,273
CAMP,sequence_modified_not_normalized,62
CAMP,source_conflict,1489
CAMP,source_verified,1013
DBAASP,database_only_no_primary_source,3296
DBAASP,sequence_modified_not_normalized,5514
DBAASP,source_conflict,25345
DBAASP,source_verified,89510
DBAASP,unresolved_record,56
DRAMP,database_only_no_primary_source,149
DRAMP,sequence_modified_not_normalized,730
DRAMP,source_conflict,4328
DRAMP,source_verified,3251
dbAMP,database_only_no_primary_source,327
dbAMP,sequence_modified_not_normalized,52
dbAMP,source_conflict,949
dbAMP,source_verified,626
unknown,source_conflict,1
unknown,source_verified,5
