source_table,status,count
/mnt/d/.../output/sequences/all_sequences.csv,sequence_modified_not_normalized,1
/mnt/d/.../output/sequences/all_sequences.csv,source_verified,8
/mnt/d/.../output/sequences/all_sequences.csv:27513,source_verified,1
/mnt/d/.../output/sequences/all_sequences.csv:3589,source_verified,1
/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/output/experiments/all_experimental_records.csv,source_conflict,1
/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/output/experiments/dbaasp_assay_records.csv,source_verified,1
/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/output/sequences/all_sequences.csv,sequence_modified_not_normalized,1
APD6,source_verified,1
APD6 linked_experiment_records.jsonl + merged all_sequences.csv,sequence_modified_not_normalized,1
APD6 peptides.csv / apd6_activity_text_records.csv,source_conflict,1
APD6 peptides.csv / apd6_activity_text_records.csv / all_sequences.csv,source_verified,1
APD6 peptides.csv / linked_experiment_records.jsonl,sequence_modified_not_normalized,5
APD6 peptides.csv / linked_experiment_records.jsonl,source_conflict,1
APD6 peptides.csv / merged sequence catalog,database_only_no_primary_source,1
APD6/apd6_export/structured/peptides.csv,source_conflict,5
APD6/apd6_export/structured/peptides.csv,source_verified,5
Anti-Gram-_amps.txt,database_only_no_primary_source,6
Anti-Gram-_amps.txt,sequence_modified_not_normalized,8
Anti-Gram-_amps.txt,source_conflict,153
Anti-Gram-_amps.txt,source_verified,42
Anti-Gram-_amps.txt; Anti-Gram-positive_amps.txt; Antibacterial_amps.txt; Antifungal_amps.txt; Antimicrobial_amps.txt; general_amps.txt; linked_literature_records.jsonl,source_verified,4
Anti-Gram-_amps.txt; Anti-Gram-positive_amps.txt; Antibacterial_amps.txt; Antimicrobial_amps.txt; general_amps.txt,sequence_modified_not_normalized,1
Anti-Gram-_amps.txt; Anti-Gram-positive_amps.txt; Antibacterial_amps.txt; Antimicrobial_amps.txt; general_amps.txt; linked_literature_records.jsonl,sequence_modified_not_normalized,1
Anti-Gram-positive_amps.txt,database_only_no_primary_source,6
Anti-Gram-positive_amps.txt,sequence_modified_not_normalized,14
Anti-Gram-positive_amps.txt,source_conflict,124
Anti-Gram-positive_amps.txt,source_verified,48
Anti-SARS-CoV-2_amps.txt,database_only_no_primary_source,2
Anti-SARS-CoV-2_amps.txt,sequence_modified_not_normalized,24
Anti-SARS-CoV-2_amps.txt,source_conflict,107
Anti-SARS-CoV-2_amps.txt,source_verified,36
Antibacterial_amps.txt,database_only_no_primary_source,6
Antibacterial_amps.txt,sequence_modified_not_normalized,17
Antibacterial_amps.txt,source_conflict,225
Antibacterial_amps.txt,source_verified,78
Anticancer_amps.txt,source_conflict,7
Antifungal_amps.txt,database_only_no_primary_source,2
Antifungal_amps.txt,sequence_modified_not_normalized,20
Antifungal_amps.txt,source_conflict,77
Antifungal_amps.txt,source_verified,24
Antimicrobial_amps.txt,database_only_no_primary_source,14
Antimicrobial_amps.txt,sequence_modified_not_normalized,53
Antimicrobial_amps.txt,source_conflict,333
Antimicrobial_amps.txt,source_verified,120
Antiparasitic_amps.txt,source_conflict,8
Antiparasitic_amps.txt,source_verified,12
Antiviral_amps.txt,database_only_no_primary_source,2
Antiviral_amps.txt,sequence_modified_not_normalized,27
Antiviral_amps.txt,source_conflict,114
Antiviral_amps.txt,source_verified,36
CAMP/camp_r4_export/data/sequences.csv,source_conflict,4
CAMP/camp_r4_export/data/sequences.csv,source_verified,2
DBAASP,source_conflict,15
DBAASP,source_verified,206
DBAASP/data/index/assay_refs.csv,source_conflict,33
DBAASP/data/index/assay_refs.csv,source_verified,60
DRAMP,source_verified,18
Insecticidal_amps.txt,sequence_modified_not_normalized,1
Insecticidal_amps.txt,source_conflict,9
Insecticidal_amps.txt,source_verified,10
all_experimental_records.csv; all_sequences.csv,source_conflict,1
all_experimental_records.csv;dbaasp_assay_records.csv,source_conflict,9
