paper_id,doi,review_status,publication_grade,source_reviewed,public_v1_included,exclusion_reason,database_audit_records,activity_records,mechanism_claims,database_final_exists,activity_final_exists,mechanism_final_exists,review_report_exists
doi__10.1002_cbic.202100609,,needs_targeted_rework,False,True,False,needs_targeted_rework,554,376,3,True,True,True,True
doi__10.1007_s00018-020-03755-w,10.1007/s00018-020-03755-w,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,141,56,3,True,True,True,True
doi__10.1007_s00253-020-10685-x,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,10,34,4,True,True,True,True
doi__10.1007_s12602-022-10036-4,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,82,14,3,True,True,True,True
doi__10.1016_j.bbrc.2004.05.046,,needs_targeted_rework,False,True,False,needs_targeted_rework,15,0,1,True,True,True,True
doi__10.1016_j.cell.2024.07.027,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,410,200,3,True,True,True,True
doi__10.1016_j.celrep.2020.108254,,needs_targeted_rework,False,True,False,needs_targeted_rework,15,0,3,True,True,True,True
doi__10.1016_j.celrep.2021.108959,,needs_targeted_rework,False,True,False,needs_targeted_rework,9,0,3,True,True,True,True
doi__10.1016_j.isci.2020.100999,,needs_targeted_rework,False,True,False,needs_targeted_rework,51,0,2,True,True,True,True
doi__10.1016_j.isci.2021.102480,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,9,17,3,True,True,True,True
doi__10.1016_j.jacbts.2020.10.003,,needs_targeted_rework,False,True,False,needs_targeted_rework,13,0,3,True,True,True,True
doi__10.1016_j.jmb.2009.10.032,,needs_targeted_rework,False,True,False,needs_targeted_rework,8,0,1,True,True,True,True
doi__10.1016_j.tibtech.2009.07.004,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,8,0,3,True,True,True,True
doi__10.1016_j.virol.2006.01.029,,needs_targeted_rework,False,True,False,needs_targeted_rework,56,0,2,True,True,True,True
doi__10.1016_j.virol.2010.11.014,,needs_targeted_rework,False,True,False,needs_targeted_rework,12,6,3,True,True,True,True
doi__10.1016_j.virol.2017.07.033,,needs_targeted_rework,False,True,False,needs_targeted_rework,26,0,3,True,True,True,True
doi__10.1016_j.virusres.2006.03.001,,needs_targeted_rework,False,True,False,needs_targeted_rework,94,0,2,True,True,True,True
doi__10.1016_s0140-6736(04)15788-7,,needs_targeted_rework,False,True,False,needs_targeted_rework,21,0,2,True,True,True,True
doi__10.1021_acs.jmedchem.2c01469,,needs_targeted_rework,False,True,False,needs_targeted_rework,427,453,3,True,True,True,True
doi__10.1038_msb4100049,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,8,0,0,True,True,True,True
doi__10.1038_s41467-018-03746-3,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,26,12,4,True,True,True,True
