paper_id,record_index,database,source_table,source_id,sequence_key,database_subject,database_measure,source_value_support_status,source_value_locator,conflict_context,blocker_class,target_queue,recommended_next_action,review_status,public_v1_included,final_database_artifact
doi__10.1038_s41522-024-00637-y,1,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Pseudomonas aeruginosa LESB58,MIC; fici=0.5,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,2,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Pseudomonas aeruginosa LESB58,MIC; fici=1,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,3,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Pseudomonas aeruginosa LESB58,MIC; fici=1,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,4,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Pseudomonas aeruginosa LESB58,MIC; fici=1,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,5,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Staphylococcus aureus USA 300 LAC,MIC; fici=0.75,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,6,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Staphylococcus aureus USA 300 LAC,MIC; fici=0.5,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,7,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Staphylococcus aureus USA 300 LAC,MIC; fici=1.56,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,8,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Staphylococcus aureus USA 300 LAC,MIC; fici=0.75,not_row_level_source_verified,"{""locator"": ""xml:table=1"", ""source_path"": ""source/paper.xml""}",The local source review could not map this database row to a unique source table value.,synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,21,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Pseudomonas aeruginosa LESB58,MIC; fici=1,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,22,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Staphylococcus aureus USA 300 LAC,MIC; fici=0.75,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
