paper_id,category,recommended_action,source_path,title,year,journal,doi,pmid,pmcid,primary_xml_count,primary_pdf_count,any_xml_count,any_pdf_count,package_file_count,supplementary_file_count,availability_level,availability_reasons
doi__10.1002_adbi.201700259,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_adbi.201700259,Amino Acid Composition Determines Peptide Activity Spectrum and Hot-Spot-Based Design of Merecidin.,2018,Adv Biosyst,10.1002/adbi.201700259,30800727,PMC6379907,0,0,0,0,0,10,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_bip.20911,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_bip.20911,Effects of net charge and the number of positively charged residues on the biological activity of amphipathic alpha-helical cationic antimicrobial peptides.,2007,Biopolymers,10.1002/bip.20911,18098173,PMC2761230,0,0,0,0,0,7,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_bip.22624,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_bip.22624,Functional characterization of a melittin analog containing a non-natural tryptophan analog.,2015,Biopolymers,10.1002/bip.22624,25670241,PMC4516667,0,0,0,0,0,10,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_bit.27092,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_bit.27092,Identification and elucidation of proline-rich antimicrobial peptides with enhanced potency and delivery.,2019,Biotechnol Bioeng,10.1002/bit.27092,31209863,PMC6726534,0,0,0,0,0,7,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cbic.201100450,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cbic.201100450,A Synthetic mirror image of kalata B1 reveals that cyclotide activity is independent of a protein receptor.,2011,Chembiochem,10.1002/cbic.201100450,21928440,PMC6364095,0,0,0,0,0,8,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cbic.201900707,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cbic.201900707,"Discovery of Ubonodin, an Antimicrobial Lasso Peptide Active against Members of the Burkholderia cepacia Complex",2019,Chembiochem.,10.1002/cbic.201900707,31765515,PMC7205569,0,0,0,0,0,6,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cmdc.201200016,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cmdc.201200016,"Effects of cyclic lipodepsipeptide structural modulation on stability, antibacterial activity, and human cell toxicity.",2012,ChemMedChem,10.1002/cmdc.201200016,22392790,PMC3500847,0,0,0,0,0,10,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cmdc.201402033,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cmdc.201402033,Improved bioactivity of antimicrobial peptides by addition of amino-terminal copper and nickel (ATCUN) binding motifs.,2014,ChemMedChem,10.1002/cmdc.201402033,24803240,PMC4440792,0,0,0,0,0,9,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_ddr.21601,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_ddr.21601,Novel antimicrobial peptide discovery using machine learning and biophysical selection of minimal bacteriocin domains.,2019,Drug Dev Res,10.1002/ddr.21601,31483516,PMC9202646,0,0,0,0,0,9,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_hep.25665,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_hep.25665,Human apolipoprotein E peptides inhibit hepatitis C virus entry by blocking virus binding.,2012,Hepatology,10.1002/hep.25665,22334503,PMC3362681,0,0,0,0,0,10,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_j.1460-2075.1990.tb07489.x,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1990.tb07489.x,The immune response in Drosophila: pattern of cecropin expression and biological activity.,1990,EMBO J,10.1002/j.1460-2075.1990.tb07489.x,2390977,PMC552014,0,0,0,0,0,2,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_psc.1016,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_psc.1016,"Solution structure, antibacterial activity, and expression profile of Manduca sexta moricin.",2008,J Pept Sci,10.1002/psc.1016,18265434,PMC4356134,0,0,0,0,0,8,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1007_5584_2018_276,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1007_5584_2018_276,Biological Profiling of Coleoptericins and Coleoptericin-Like Antimicrobial Peptides from the Invasive Harlequin Ladybird Harmonia axyridis.,2018,Adv Exp Med Biol,10.1007/5584_2018_276,30269257,,0,0,0,0,0,10,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1007_978-0-387-73657-0_172,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1007_978-0-387-73657-0_172,Chemical modifications of short antimicrobial peptides from insects and vertebrates to fight multi-drug resistant bacteria.,2009,Adv Exp Med Biol,10.1007/978-0-387-73657-0_172,19400239,,0,0,0,0,0,10,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1007_978-1-62703-336-7_26,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1007_978-1-62703-336-7_26,Lipo-oligoarginine-based intracellular delivery.,2013,Methods Mol Biol,10.1007/978-1-62703-336-7_26,23546678,,0,0,0,0,0,10,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
