paper_id,category,recommended_action,source_path,title,year,journal,doi,pmid,pmcid,primary_xml_count,primary_pdf_count,any_xml_count,any_pdf_count,package_file_count,supplementary_file_count,availability_level,availability_reasons
doi__10.1002_adbi.201700259,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_adbi.201700259,Amino Acid Composition Determines Peptide Activity Spectrum and Hot-Spot-Based Design of Merecidin.,2018,Adv Biosyst,10.1002/adbi.201700259,30800727,PMC6379907,0,0,0,0,0,10,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_adfm.201606623,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_adfm.201606623,Controlled Release of LL-37-Derived Synthetic Antimicrobial and Anti-Biofilm Peptides SAAP-145 and SAAP-276 Prevents Experimental Biomaterial-Associated Staphylococcus aureus Infection,2017,Adv Funct Mater,10.1002/adfm.201606623,,,0,1,0,1,0,0,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g;;;f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;c;r;o;s;s;r;e;f;_;i;d;e;n;t;i;f;i;e;r
doi__10.1002_bip.20911,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_bip.20911,Effects of net charge and the number of positively charged residues on the biological activity of amphipathic alpha-helical cationic antimicrobial peptides.,2007,Biopolymers,10.1002/bip.20911,18098173,PMC2761230,0,0,0,0,0,7,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_bip.22624,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_bip.22624,Functional characterization of a melittin analog containing a non-natural tryptophan analog.,2015,Biopolymers,10.1002/bip.22624,25670241,PMC4516667,0,0,0,0,0,10,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_bip.22925,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_bip.22925,Ocellatin-PT antimicrobial peptides: High-resolution microscopy studies in antileishmania models and interactions with mimetic membrane systems.,2016,Biopolymers,10.1002/bip.22925,27463422,,0,1,0,1,0,0,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_bit.27092,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_bit.27092,Identification and elucidation of proline-rich antimicrobial peptides with enhanced potency and delivery.,2019,Biotechnol Bioeng,10.1002/bit.27092,31209863,PMC6726534,0,0,0,0,0,7,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cbic.201100450,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cbic.201100450,A Synthetic mirror image of kalata B1 reveals that cyclotide activity is independent of a protein receptor.,2011,Chembiochem,10.1002/cbic.201100450,21928440,PMC6364095,0,0,0,0,0,8,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cbic.201900707,metadata_only,attempt_external_primary_fulltext_then_inventory_existing_supplementary_assets,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cbic.201900707,"Discovery of Ubonodin, an Antimicrobial Lasso Peptide Active against Members of the Burkholderia cepacia Complex",2019,Chembiochem.,10.1002/cbic.201900707,31765515,PMC7205569,0,0,0,0,0,6,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cbic.202400586,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cbic.202400586,"Discovery and Heterologous Expression of Trilenodin, an Antimicrobial Lasso Peptide with a Unique Tri-isoleucine Motif.",2024,Chembiochem.,10.1002/cbic.202400586,39225753,PMC11664905,0,2,1,2,2,0,direct_pdf,l;o;c;a;l;_;p;d;f;;;l;o;c;a;l;_;x;m;l;;;l;o;c;a;l;_;p;a;c;k;a;g;e;;;l;o;c;a;l;_;s;u;p;p;l;e;m;e;n;t;a;r;y;;;o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g;;;f;u;l;l;t;e;x;t;_;s;i;g;n;a;l
doi__10.1002_chem.201801423,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_chem.201801423,"Rational Design and Synthesis of Modified Teixobactin Analogues: In Vitro Antibacterial Activity against Staphylococcus aureus, Propionibacterium acnes and Pseudomonas aeruginosa.",2018,Chemistry,10.1002/chem.201801423,29741277,,0,1,0,1,0,0,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
