paper_id,category,recommended_action,source_path,title,year,journal,doi,pmid,pmcid,primary_xml_count,primary_pdf_count,any_xml_count,any_pdf_count,package_file_count,supplementary_file_count,availability_level,availability_reasons
doi__10.1002_adfm.201606623,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_adfm.201606623,Controlled Release of LL-37-Derived Synthetic Antimicrobial and Anti-Biofilm Peptides SAAP-145 and SAAP-276 Prevents Experimental Biomaterial-Associated Staphylococcus aureus Infection,2017,Adv Funct Mater,10.1002/adfm.201606623,,,0,1,0,1,0,0,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g;;;f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;c;r;o;s;s;r;e;f;_;i;d;e;n;t;i;f;i;e;r
doi__10.1002_bip.22925,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_bip.22925,Ocellatin-PT antimicrobial peptides: High-resolution microscopy studies in antileishmania models and interactions with mimetic membrane systems.,2016,Biopolymers,10.1002/bip.22925,27463422,,0,1,0,1,0,0,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cbic.202400586,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cbic.202400586,"Discovery and Heterologous Expression of Trilenodin, an Antimicrobial Lasso Peptide with a Unique Tri-isoleucine Motif.",2024,Chembiochem.,10.1002/cbic.202400586,39225753,PMC11664905,0,2,1,2,2,0,direct_pdf,l;o;c;a;l;_;p;d;f;;;l;o;c;a;l;_;x;m;l;;;l;o;c;a;l;_;p;a;c;k;a;g;e;;;l;o;c;a;l;_;s;u;p;p;l;e;m;e;n;t;a;r;y;;;o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g;;;f;u;l;l;t;e;x;t;_;s;i;g;n;a;l
doi__10.1002_chem.201801423,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_chem.201801423,"Rational Design and Synthesis of Modified Teixobactin Analogues: In Vitro Antibacterial Activity against Staphylococcus aureus, Propionibacterium acnes and Pseudomonas aeruginosa.",2018,Chemistry,10.1002/chem.201801423,29741277,,0,1,0,1,0,0,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_cmdc.201800289,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_cmdc.201800289,Effect of Acylation on the Antimicrobial Activity of Temporin B Analogues.,2018,ChemMedChem,10.1002/cmdc.201800289,29920962,,0,1,0,1,0,0,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_hep.25665,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_hep.25665,Human apolipoprotein E peptides inhibit hepatitis C virus entry by blocking virus binding.,2012,Hepatology,10.1002/hep.25665,22334503,PMC3362681,0,1,0,1,0,10,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_hep.25685,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_hep.25685,A human claudin-1-derived peptide inhibits hepatitis C virus entry.,2012,Hepatology,10.1002/hep.25685,22378192,PMC3406249,0,1,0,1,0,3,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g;;;f;u;l;l;t;e;x;t;_;s;i;g;n;a;l
doi__10.1002_j.1460-2075.1983.tb01465.x,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1983.tb01465.x,"Attacins, a family of antibacterial proteins from Hyalophora cecropia.",1983,EMBO J.,10.1002/j.1460-2075.1983.tb01465.x,6628360,PMC555063,0,1,0,1,0,10,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g;;;f;u;l;l;t;e;x;t;_;s;i;g;n;a;l
doi__10.1002_j.1460-2075.1983.tb01561.x,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1983.tb01561.x,"Amino acid sequence of seminalplasmin, an antimicrobial protein from bull semen.",1983,EMBO J,10.1002/j.1460-2075.1983.tb01561.x,16453469,,0,1,0,1,0,9,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_j.1460-2075.1988.tb02980.x,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1988.tb02980.x,Leaf-specific thionins of barley-a novel class of cell wall proteins toxic to plant-pathogenic fungi and possibly involved in the defence mechanism of plants.,1988,EMBO J,10.1002/j.1460-2075.1988.tb02980.x,16453847,,0,1,0,1,0,3,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_j.1460-2075.1989.tb08368.x,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1989.tb08368.x,Apidaecins: antibacterial peptides from honeybees.,1989,EMBO J,10.1002/j.1460-2075.1989.tb08368.x,2676519,PMC401180,0,1,0,1,0,10,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g;;;f;u;l;l;t;e;x;t;_;s;i;g;n;a;l
doi__10.1002_j.1460-2075.1990.tb07489.x,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1990.tb07489.x,The immune response in Drosophila: pattern of cecropin expression and biological activity.,1990,EMBO J,10.1002/j.1460-2075.1990.tb07489.x,2390977,PMC552014,0,1,0,1,0,2,fulltext_or_xml,f;u;l;l;t;e;x;t;_;s;i;g;n;a;l;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_j.1460-2075.1990.tb07606.x,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1990.tb07606.x,the secretion of colicin V.,1990,EMBO J,10.1002/j.1460-2075.1990.tb07606.x,2249654,,0,1,0,1,0,2,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_j.1460-2075.1990.tb08098.x,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1990.tb08098.x,a compact gene cluster involved in the response to infection.,1990,EMBO J,10.1002/j.1460-2075.1990.tb08098.x,2104802,,0,1,0,1,0,6,landing_page,o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g
doi__10.1002_j.1460-2075.1991.tb07932.x,weak_source,recover_or_stage_primary_xml_then_build_material_packet,/mnt/d/work/抗菌肽/数据库/merged_amp_corpus/landed_assets/papers/doi__10.1002_j.1460-2075.1991.tb07932.x,"The andropin gene and its product, a male-specific antibacterial peptide in Drosophila melanogaster.",1991,EMBO J.,10.1002/j.1460-2075.1991.tb07932.x,1899226,PMC452624,0,1,0,1,0,10,direct_pdf,o;p;e;n;a;l;e;x;_;p;d;f;;;o;p;e;n;a;l;e;x;_;l;a;n;d;i;n;g;;;f;u;l;l;t;e;x;t;_;s;i;g;n;a;l
