"Additional File 2. COGs present in the seven E. faecium genomes"
,,,
,,,,,,"Strainsb",,,
"COG","COG functional categorya","COG annotation","E980","E1039","E1071","E1162","E1636","E1679","U0317"
"COG0004","P","Ammonia permease","1","1","1","1","1","1","1"
"COG0005","F","Purine nucleoside phosphorylase","1","1","1","1","1","1","1"
"COG0006","E","Xaa-Pro aminopeptidase","2","2","2","2","2","2","2"
"COG0008","J","Glutamyl- and glutaminyl-tRNA synthetases","1","1","1","1","1","1","1"
"COG0009","J","Putative translation factor (SUA5)","1","1","1","1","1","1","1"
"COG0012","J","Predicted GTPase, probable translation factor","2","1","1","1","1","1","1"
"COG0013","J","Alanyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0014","E","Gamma-glutamyl phosphate reductase","1","1","1","1","1","1","1"
"COG0015","F","Adenylosuccinate lyase","1","1","1","1","1","2","1"
"COG0016","J","Phenylalanyl-tRNA synthetase alpha subunit","1","1","1","1","1","1","1"
"COG0017","J","Aspartyl/asparaginyl-tRNA synthetases","1","1","1","1","1","1","1"
"COG0018","J","Arginyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0019","E","Diaminopimelate decarboxylase","1","1","1","1","1","1","1"
"COG0020","I","Undecaprenyl pyrophosphate synthase","1","1","1","1","1","1","1"
"COG0021","G","Transketolase","1","1","1","1","1","1","1"
"COG0022","C","Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit","1","1","1","1","1","1","1"
"COG0024","J","Methionine aminopeptidase","1","1","1","1","1","1","1"
"COG0025","P","NhaP-type Na+/H+ and K+/H+ antiporters","1","1","1","1","1","1","1"
"COG0026","F","Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)","1","1","1","1","1","1","1"
"COG0028","EH","Thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase","2","2","2","2","2","2","2"
"COG0030","J","Dimethyladenosine transferase (rRNA methylation)","1","1","2","1","1","3","2"
"COG0031","E","Cysteine synthase","2","2","2","2","2","2","2"
"COG0034","F","Glutamine phosphoribosylpyrophosphate amidotransferase","1","1","1","1","1","1","1"
