"Supplementary Table 2:  Genes represented by more than two prostate ESTs and expressed in fewer than two tissues in addition to prostate"
"Unigene",,"Unigene Description",,"Tissue"
"Mm.1286",,"seminal vesicle protein 2",,"urogential ;aorta and vein"
"Mm.2540",,"beta-microseminoprotein",,"urinary bladder"
"Mm.2807",,"UDP-N-acetyl-alpha-D-galactosamine(N-acetylneuraminyl)-galactosyl-N-acetylglucosaminylpolypeptide-beta-1,4-N-acetylgalactosaminyltransferase",,"colon ;embryo"
"Mm.3520",,"NK-3 transcription factor locus 1 (Drosophila)",,"Trophoblast stem cell"
"Mm.3735",,"ESTs Moderately similar to RIKEN cDNA 5730493B19 [Mus musculus]",,"ectoplacental cone"
"Mm.3787",,"seminal vesicle secretion 6",,"urogenital"
"Mm.4119",,"seminal vesicle antigen",,"urinary bladder ;vesicular gland"
"Mm.4902",,"expressed sequence AA517023",,"E6 5d whole embryo"
"Mm.8034",,"probasin",,"urogenital ;bone"
"Mm.9584",,"expressed sequence C85363",,"thymus ;spinal cord"
"Mm.9741",,"expressed sequence C87306",,"lung ;brain"
"Mm.11474",,"RIKEN cDNA 9530010C24 gene",,"Hematopoietic Stem Cell (Lin-/c-Kit+/Sca-1+) ;urinary bladder"
"Mm.11886",,"expressed sequence AU022754",,"visual cortex"
"Mm.12035",,"ESTs",,"visual cortex"
"Mm.17925",,"ESTs",,"liver ;Spleen"
"Mm.18938",,"ESTs",,"Thymus ;aorta and vein"
"Mm.23076",,"RIKEN cDNA 3930402G23 gene",,"cerebellum"
"Mm.23237",,"ESTs",,"retina ;carcinoma"
"Mm.23354",,"ESTs Moderately similar to solute carrier family 23 member 2",,"kidney ;testis"
"Mm.23643",,"ESTs",,"eyeball ;placenta"
"Mm.25571",,"ESTs",,"embryo"
"Mm.25813",,"ESTs",,"eyeball ;melanoma"
"Mm.26000",,"ESTs",,"hypothalamus ;spinal cord"
"Mm.26035",,"ESTs Moderately similar to RIKEN cDNA 5730493B19 [Mus musculus]",,"tumor gross tissue"
"Mm.26081",,"ESTs",,"Newborn Brain"
"Mm.26134",,"expressed sequence AU018728",,"Mouse eight-cell stage embryo cDNA ;NIA Mouse 15K cDNA"
"Mm.27981",,"ESTs",,"embryo ;pancreas"
"Mm.29305",,"ESTs",,"lung ;stomach"
"Mm.30493",,"ESTs",,"testis"
"Mm.31017",,"ESTs",,"whole skin ;Tcell"
"Mm.31085",,"ESTs",,"head ;Newborn Brain"
"Mm.32003",,"ESTs",,"Kidney ;tumor gross tissue"
"Mm.32092",,"EST",,"embryo"
"Mm.32662",,"expressed sequence AI462951",,"lymph node"
"Mm.32684",,"ESTs",,"epididymis ;Spleen"
"Mm.32692",,"expressed sequence AI463229",,"mammary gland"
"Mm.32796",,"ESTs",,"lymph node ;testis"
"Mm.33059",,"ESTs",,"mammary gland"
"Mm.33375",,"ESTs",,"pituitary gland"
"Mm.34195",,"ESTs",,"Hematopoietic Stem Cell (Lin-/c-Kit+/Sca-1+) ;kidney"
"Mm.34226",,"ESTs Highly similar to exportin 1",,"embryo"
"Mm.34572",,"expressed sequence AI844685",,"mammary gland"
"Mm.34947",,"expressed sequence C80892",,"blastocyst ;spinal cord"
"Mm.35132",,"ESTs",,"carcinoma ;blastocyst"
"Mm.35273",,"ESTs",,"Barstead mouse irradiated colon MPLRB7"
"Mm.38098",,"ESTs",,"head ;pancreas"
"Mm.38400",,"ESTs",,"lymph node"
"Mm.38558",,"hypothetical protein AB041803",,"brain"
"Mm.39254",,"EST",,"NIH_BMAP_M_S1"
"Mm.39257",,"ESTs",,"thymus"
"Mm.39678",,"expressed sequence AI853688",,"olfactory brain ;cerebellum"
"Mm.40147",,"ESTs",,"whole brain"
"Mm.40801",,"ESTs",,"NIH_BMAP_MBG_N"
"Mm.40913",,"ESTs",,"NIH_BMAP_M_S1"
"Mm.41140",,"expressed sequence AW493563",,"Brain ;bone marrow"
"Mm.41831",,"ESTs Highly similar to APBA1 amyloid beta (A4) precursor protein-binding family A member 1 (X11) [Rattus norvegicus]",,"Unfertilized Egg"
"Mm.41981",,"defensin beta 2",,"head ;epididymis"
"Mm.44078",,"ESTs",,"mammary gland ;tumor biopsy sample"
"Mm.44085",,"ESTs Highly similar to S12207 hypothetical protein (B2 element) - mouse",,"kidney ;Male genital ridge/mesonephros"
"Unigene",,"Unigene Description",,"Tissue"
"Mm.44269",,"ESTs",,"brain"
"Mm.44818",,"ESTs",,"NIH_BMAP_M_S2"
"Mm.46345",,"ESTs Moderately similar to defensin related cryptdin 4 [Mus musculus]",,"small intestine ;pancreas"
"Mm.46428",,"spermine binding protein",,"tongue ;urogenital ;stomach"
"Mm.47117",,"RIKEN cDNA 1700010B08 gene",,"urogenital"
"Mm.48700",,"ESTs",,"liver"
"Mm.49535",,"ESTs Weakly similar to CAMP [Mus musculus] [M.musculus]",,"eyeball ;spinal ganglion"
"Mm.51503",,"RIKEN cDNA 5530400K19 gene",,"head"
"Mm.52310",,"ESTs Moderately similar to CAMP [Mus musculus] [M.musculus]",,"mammary gland"
"Mm.52517",,"RIKEN cDNA 1700007A21 gene",,"testis ;Testicles"
"Mm.53976",,"RIKEN cDNA 5730405O12 gene",,"eyeball"
"Mm.55307",,"EST",,"head"
"Mm.56816",,"EST Weakly similar to transcription elongation regulator 1 (CA150)",,"head"
"Mm.57041",,"UDP-GalbetaGlcNAc beta 1 3-galactosyltransferase polypeptide 1",,"medulla oblongata ;sympathetic ganglion"
"Mm.57112",,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)",,"tumor ;inner ear "
"Mm.57124",,"homeo box D12",,"embryo ;forelimb"
"Mm.58109",,"ESTs",,"tongue ;Fetal Liver"
"Mm.59186",,"ESTs Weakly similar to SMD2 HUMAN Small nuclear ribonucleoprotein Sm D2 (snRNP core protein D2) (Sm-D2) [H.sapiens]",,"NIH_BMAP_M_S3.1"
"Mm.60933",,"ESTs Weakly similar to protocadherin gamma subfamily B 7 [Mus musculus]",,"testis"
"Mm.65376",,"ESTs",,"Brain ;whole brain"
"Mm.68996",,"ESTs",,"Spleen ;germinal B-cell"
"Mm.69501",,"ESTs Weakly similar to YO11 MOUSE HYPOTHETICAL PROTEIN ORF-1137",,"kidney ;hypothalamus"
"Mm.70991",,"EST",,"NIH_BMAP_M_S3.3"
"Mm.70992",,"ESTs",,"urinary bladder ;head"
"Mm.71887",,"11 kDa secreted protein precursor mRNA complete cds",,"whole skin"
"Mm.71908",,"ESTs",,"blastocyst"
"Mm.72256",,"EST",,"testis"
"Mm.72478",,"ESTs",,"testis ;spinal cord"
"Mm.73762",,"ESTs",,"whole skin ;head"
"Mm.74498",,"ESTs",,"visual cortex ;sympathetic ganglion"
"Mm.74682",,"ESTs Moderately similar to cofactor required for Sp1 transcriptional activation subunit 2 (150 kDa) [Mus musculus]",,"Tcell ;cerebellum"
"Mm.75252",,"EST",,"pancreas"
"Mm.76696",,"ESTs",,"cerebellum"
"Mm.76752",,"ESTs",,"NIH_BMAP_M_S3.1"
"Mm.77716",,"ESTs",,"mammary gland"
"Mm.79192",,"ESTs Highly similar to hypothetical protein DKFZp434P1735 [Homo sapiens]",,"testis"
"Mm.82646",,"ESTs",,"NIH_BMAP_M_S3.1"
"Mm.83554",,"ESTs",,"testis"
"Mm.84683",,"ESTs Weakly similar to syntrophin associated serine",,"testis"
"Mm.84989",,"RIKEN cDNA 4933424G05 gene",,"testis"
"Mm.87733",,"expressed sequence AV026068",,"lung"
"Mm.88458",,"ESTs",,"head ;gonad"
"Mm.88827",,"myeloid",,"tumor ;urogential ;spleen"
"Mm.88851",,"sperm motility kinase 2",,"lung"
"Mm.89693",,"expressed sequence AL022871",,"dissected endoderm"
"Mm.90111",,"ESTs",,"liver"
"Mm.96322",,"ESTs",,"branchial arches ;lung"
"Mm.99224",,"ESTs",,"urogenital"
"Mm.99349",,"seminal vesicle protein secretion 7",,"urogenital"
"Mm.99639",,"ESTs",,"epididymis ;tumor gross tissue"
"Mm.99807",,"EST",,"epididymis"
"Mm.99991",,"ESTs",,"infiltrating ductal carcinoma ;whole brain"
"Mm.100241",,"four and a half LIM domains 3",,"placenta"
"Mm.100532",,"DNA segment Chr 5 Wayne State University 148 expressed",,"mammary gland ;ectoplacental cone"
"Mm.100866",,"ESTs Moderately similar to RIKEN cDNA 2010013B10 [Mus musculus]",,"head ;testis"
"Mm.100905",,"ESTs",,"pituitary gland ;spontaneous tumor metastatic to mammary. Stem cell origin."
"Mm.101105",,"ESTs",,"eyeball ;neural retina"
"Mm.101130",,"EST",,"NIH_BMAP_M_S4"
"Mm.101263",,"ESTs",,"Thymus ;neural retina"
"Mm.101516",,"ESTs",,"head ;neural retina"
"Mm.101517",,"ESTs",,"neural retina"
"Mm.102151",,"ESTs",,"kidney"
"Unigene",,"Unigene Description",,"Tissue"
"Mm.102292",,"ESTs",,"Thymus ;mammary gland"
"Mm.102322",,"ESTs",,"melanoma"
"Mm.102488",,"ESTs",,"heart ;germinal B-cell"
"Mm.102614",,"ESTs Moderately similar to S12207 hypothetical protein (B2 element) - mouse",,"spinal ganglion ;retina"
"Mm.102683",,"ESTs",,"tumor metastatic to mammary ;lung"
"Mm.102863",,"ESTs",,"Mesenchymal stem cell"
"Mm.102904",,"ESTs",,"tumor metastatic to mammary ;whole brain"
"Mm.102935",,"ESTs Weakly similar to A38152 F-spondin - rat [R.norvegicus]",,"colon ;skin"
"Mm.102992",,"ESTs Weakly similar to somatotropin intron-related protein RDE.25 - rat ",,"thymus"
"Mm.103018",,"ESTs",,"Thymus"
"Mm.103067",,"ESTs",,"whole skin"
"Mm.103285",,"ESTs",,"aorta and vein"
"Mm.103436",,"ESTs",,"embryo ;head"
"Mm.103481",,"pregnancy-associated plasma protein A",,"parthenogenote ;tumor ;urogenital"
"Mm.105060",,"EST",,"pooled mammary gland tumors"
"Mm.107046",,"EST",,"skin"
"Mm.108599",,"ESTs",,"mammary gland"
"Mm.109024",,"EST",,"testis"
"Mm.110371",,"ESTs",,"pituitary gland"
