,"Monocot-eudicot","O.sativa(Beijing)",,"A.thaliana",
,"# of Genes in data set","49088",,"25426",
,"# with Interpro_ID","14407",,"10422",
"Interpro_ID","Domain_Name","Genes","Rank","Genes","Rank"
"IPR002219","Phorbol esters/diacylglycerol binding domain","836","1","494","3"
"IPR001810","F-box domain","809","2","641","1"
"IPR001170","Natriuretic peptides receptor, N-terminus","641","3","457","4"
"IPR002182","NB-ARC domain","453","4","133","14"
"IPR001841","RING finger","435","5","495","2"
"IPR001899","Gram-positive cocci surface protein 'anchoring' hexapeptide","424","6","283","7"
"IPR000477","RNA-directed DNA polymerase (Reverse transcriptase)","384","7","77","36"
"IPR001005","Myb DNA binding domain","373","8","312","5"
"IPR000345","Cytochrome c family heme-binding site","372","9","257","8"
"IPR000504","RNA-binding region RNP-1  (RNA recognition motif)","341","10","302","6"
"IPR003885","Leucine-rich repeat cysteine-containing subfamily","307","11","177","11"
"IPR001084","Microtubule associated Tau protein","278","12","94","27"
"IPR002048","EF-hand","255","13","238","9"
"IPR000822","Zinc finger, C2H2 type","253","14","201","10"
"IPR001230","Prenyl group binding site (CAAX box)","251","15","148","12"
"IPR003439","ABC transporter","241","16","123","15"
"IPR003163","Yeast DNA-binding domain","192","17","107","21"
"IPR003015","Myc-type, helix-loop-helix dimerization domain","185","18","106","22"
"IPR000210","BTB/POZ domain","178","19","64","46"
"IPR001471","AP2 domain/ethylene responsive element binding protein","170","20","146","13"
"IPR000561","EGF-like domain","163","21","64","47"
"IPR000169","Eukaryotic thiol (cysteine) proteases active site","155","22","68","39"
"IPR003612","Plant lipid transfer/seed storage/trypsin-alpha amylase inhibitor domain","138","23","95","26"
"IPR001623","DnaJ N-terminal domain","126","24","107","20"
"IPR000637","HMG-I and HMG-Y DNA-binding domain (A+T-hook)","125","25","85","33"
"IPR001589","Actinin-type actin-binding domain","124","26","104","23"
"IPR001092","Basic helix-loop-helix dimerization domain (bHLH)","118","27","99","25"
"IPR001934","Heavy-metal-associated domain","116","28","86","32"
"IPR003006","Immunoglobulin and major histocompatibility complex domain","112","29","52","57"
"IPR000424","Single-strand binding protein family","110","30","65","45"
"IPR001007","von Willebrand factor, type C repeat","108","31","62","49"
"IPR003657","WRKY DNA binding domain","106","32","70","38"
"IPR003609","Divergent subfamily of APPLE domain","105","33","35","78"
"IPR002078","Sigma-54 factor interaction domain","104","34","109","18"
"IPR001064","Crystallin","100","35","112","17"
"IPR001650","Helicase C-terminal domain","97","36","94","28"
"IPR000008","C2 domain","95","37","99","24"
"IPR000626","Ubiquitin domain","95","38","93","29"
"IPR001356","Homeobox domain","94","39","91","30"
"IPR004330","FAR1 protein","94","40","17","142"
"IPR000097","AP endonucleases family 1","92","41","35","76"
"IPR000953","Chromo domain","92","42","17","136"
"IPR001932","Protein phosphatase 2C domain","91","43","80","35"
"IPR004045","Glutathione S-transferase N terminus","89","44","55","56"
"IPR000130","Neutral zinc metallopeptidases, zinc-binding region","88","45","65","44"
"IPR000531","TonB-dependent receptor protein","83","46","59","51"
"IPR002083","Meprin and TRAF Homology domain (MATH)","81","47","59","52"
"IPR004332","Plant MuDR transposase","81","48","74","37"
"IPR002100","MADS-box domain","79","49","108","19"
"IPR004046","Glutathione S-transferase C terminus","79","50","50","58"
"IPR002168","Lipolytic enzymes","78","51","31","86"
"IPR001881","Calcium-binding EGF-like domain","73","52","24","104"
"IPR000571","Zinc finger C-x8-C-x5-C-x3-H type","69","53","67","40"
"IPR001789","Response regulator receiver domain","69","54","39","68"
"IPR002528","Uncharacterized domain UPF0013","69","55","62","50"
"IPR001965","PHD-finger","68","56","90","31"
"IPR003594","Histidine kinase-, DNA gyrase B-, phytochrome-like ATPase","68","57","31","87"
"IPR003613","Modified RING finger domain","68","58","58","53"
"IPR001220","Legume lectin beta domain","66","59","38","71"
