"Supplementary Table 1:  Genes differentially expressed between developmental timepoints at significance level p=0.001 without the correction for multiple comparisons."
"Species ID","Unigene","Description","Genbank","UGS","Neonatal","Day 10","Day 20","Day 35","Month 3","Month 14"
,,,,"12235","7061","3374","4415","1588","14575","3658"
"3758","Mm.1","S100 calcium binding protein A10 (calpactin)","NM_009112.1","4.4","22.5","6.2","4.9","0","1.5","0"
"7152","Mm.52","DNA segment Chr 11 ERATO Doi 99 expressed","NM_026618.1","0.9","6.4","12.4","12.2","0","0.8","11.6"
"7284","Mm.98","proteasome (prosome macropain) subunit beta type 6","NM_008946.1","0.9","12.8","0","4.9","27.9","0.8","2.9"
"5263","Mm.163","beta-2 microglobulin","NM_009735.1","5.3","3.2","0","4.9","20.9","42.1","52.4"
"6181","Mm.235","ubiquitin B","NM_011664.1","6.2","141.3","121.4","109.5","76.6","16.1","104.8"
"6235","Mm.258","ATP synthase H+ transporting mitochondrial F0 complex","AK010868.1","0.9","14.5","6.2","7.3","6.1","0.8","0"
"6296","Mm.272","serine protease inhibitor Kazal type 3","AK007985.1","0","0","0","0","76.6","786.8","200.9"
"6355","Mm.297","actin beta cytoplasmic","NM_007393.1","6.2","32.1","24.9","21.9","13.9","1.5","2.9"
"7155","Mm.318","RIKEN cDNA 2010107E04 ","NM_027360.1","2.6","24.1","9.3","2.4","0","0.8","2.9"
"7341","Mm.372","ribosomal protein S26","AK008301.1","3.5","32.1","15.6","12.2","6.1","5.4","8.7"
"572","Mm.400","RIKEN cDNA 2010000G05 ","NM_025628.1","0.9","17.7","15.6","7.3","0","3.1","5.8"
"1833","Mm.548","cytochrome c oxidase subunit VIc","NM_053071.1","3.5","41.8","9.3","21.9","0","9.2","8.7"
"1913","Mm.578","insulin-like growth factor binding protein 5","BC039231.1","13.2","3.2","9.3","2.4","6.1","1.5","0"
"1939","Mm.584","annexin A2","AK088645.1","11.4","12.8","12.4","2.4","13.9","0.8","0"
"1943","Mm.588","ribosomal protein L6","NM_011290.1","2.6","14.5","28","12.2","0","7.7","17.5"
"2942","Mm.658","solute carrier family 25 member 5","NM_007451.2","0.9","8","31.1","21.9","0","8.4","0"
"2981","Mm.666","NADH dehydrogenase (ubiquinone) 1 subcomplex","AK028011.1","0.9","30.5","15.6","9.7","13.9","3.8","2.9"
"3806","Mm.702","ribosomal protein S16","AK083946.1","4.4","9.6","6.2","14.6","27.9","3.8","2.9"
"3865","Mm.725","ribosomal protein L7a","BC029992.1","2.6","1.6","12.4","2.4","0","0","0"
