"Additional file 4: Antibiotic resistance genes in sequenced E. faecium isolates"
"Strain","Resistancea","MICb (µg/ml)","Resistance gene","Locus tag","Contig","Remarks"
"E980","ERY","25","?c",,,
"E1039","none",,,,,
"E1071","CHL","32","chloramphenicol O-acetyltransferase","EfmE1071_2206","68","cat, 90% amino acid identity to the ortholog on E. faecium plasmid pRUM [1]."
,,,,,,
,"ERY",">64","rRNA adenine N-6-methyltransferase","EfmE1071_2296","80","ermB, identical to a protein encoded on E. faecalis plasmid pRE25 [2]."
,,,,,,
,"SPC","20643","aminoglycoside 6-adenylyltransferase (AAD(6))","EfmE1071_1021","27","Identical to protein encoded on E. faecalis resistance plasmid pEF418 [Genbank: AF408195]. "
,,,,,,
,"STR","2048","aminoglycoside 6-adenylyltransferase (AAD(6))","EfmE1071_1016","26","Identical to streptomycin resistance protein Str previously characterized in Staphylococcus aureus (3). Not truncated as in other E. faecium strains [4]."
,,,,,,
,"STR","2048","streptomycin 3''-adenylyltransferase","EfmE1071_1023","27","Identical to protein encoded on E. faecalis resistance plasmid pEF418 [Genbank: AF408195]."
,,,,,,
,"TET","8","tetracycline resistance protein","EfmE1071_1017","26","tetL, efflux protein [5]."
,"VAN","256","vanA transposon","EfmE1071_0104 to EfmE1071_0110","5","The vanA gene cluster is identical to Tn1546 [6]; The 5' flanking region of the van gene cluster contains an integrase gene and several genes without obvious homology to other E. faecium genes. The 3' flanking region consists of IS1216V."
"E1162","AMP","203","low affinity penicillin-binding protein 5","EfmE1162_0386","17","Presence of amino acid residues T at position 485, T at position 499 and V at position 629 confer ampicillin resistance [7]. "
,"TET",">128","tetracycline resistance protein","EfmE1162_0403","22","tetL, efflux protein [5]."
,,,,,,
,,,"tetracycline resistance protein","EfmE1162_0404","22","tetM, protects the ribosome from the translation inhibition of tetracycline [5]."
,,,,,,
"E1636","AMP","25","low affinity penicillin-binding protein 5","EfmE1636_1340","64","No mutations conferring resistance [7] are observed. Possibly, other mechanisms, such as overexpression of pbp5 are involved [8]."
,"TET","32","TetM protein","EfmE1636_1519","73","tetM, protects the  ribosome from the translation inhibition of tetracycline [5]."
