"dN exon2","dS exon2","dN-dS exon2","exon1 names",,"dN exon1","dS exon1","dN-dS exon1","exon1 names"
"0.437","0.23","0.207","DEFB4 vs DEFB1",,"0.323","0.818","-0.495","DEFB4 vs DEFB1"
"0.486","0.428","0.058","DEFB103 vs DEFB1",,"0.306","0.682","-0.376","DEFB103 vs DEFB1"
"0.46","0.44","0.02","DEFB103 vs DEFB4",,"0.213","0.605","-0.392","DEFB103 vs DEFB4"
"0.744","0.349","0.395","DEFB104 vs DEFB1",,"0.588","0.939","-0.351","DEFB104 vs DEFB1"
"0.551","0.417","0.134","DEFB104 vs DEFB4",,"0.545","0.813","-0.268","DEFB104 vs DEFB4"
"0.644","0.445","0.199","DEFB104 vs DEFB103",,"0.46","0.691","-0.231","DEFB104 vs DEFB103"
"0.517","0.566","-0.0489999999999999","DEFB106 vs DEFB1",,"0.434","0.508","-0.074","DEFB106 vs DEFB1"
"0.514","0.462","0.052","DEFB106 vs DEFB4",,"0.378","0.695","-0.317","DEFB106 vs DEFB4"
"0.579","0.567","0.012","DEFB106 vs DEFB103",,"0.326","0.661","-0.335","DEFB106 vs DEFB103"
"0.558","0.388","0.17","DEFB106 vs DEFB104",,"0.42","0.902","-0.482","DEFB106 vs DEFB104"
"0.522","0.611","-0.089","DEFB105 vs DEFB1",,"0.424","0.738","-0.314","DEFB105 vs DEFB1"
"0.544","0.549","-0.005","DEFB105 vs DEFB4",,"0.338","0.737","-0.399","DEFB105 vs DEFB4"
"0.537","0.569","-0.0319999999999999","DEFB105 vs DEFB103",,"0.338","0.316","0.022","DEFB105 vs DEFB103"
"0.575","0.579","-0.004","DEFB105 vs DEFB104",,"0.48","0.558","-0.0780000000000001","DEFB105 vs DEFB104"
"0.522","0.495","0.027","DEFB105 vs DEFB106",,"0.273","0.667","-0.394","DEFB105 vs DEFB106"
"0.545","0.603","-0.0579999999999999","DEFB109 vs DEFB1",,"0.453","0.632","-0.179","DEFB109 vs DEFB1"
"0.519","0.448","0.071","DEFB109 vs DEFB4",,"0.435","0.696","-0.261","DEFB109 vs DEFB4"
"0.576","0.576","0","DEFB109 vs DEFB103",,"0.348","0.576","-0.228","DEFB109 vs DEFB103"
"0.472","0.522","-0.05","DEFB109 vs DEFB104",,"0.478","0.729","-0.251","DEFB109 vs DEFB104"
"0.446","0.42","0.026","DEFB109 vs DEFB106",,"0.374","0.908","-0.534","DEFB109 vs DEFB106"
"0.589","0.536","0.0529999999999999","DEFB109 vs DEFB105",,"0.54","0.574","-0.0339999999999999","DEFB109 vs DEFB105"
"0.628","0.374","0.254","DEFB108 vs DEFB1",,"0.466","0.61","-0.144","DEFB108 vs DEFB1"
"0.525","0.488","0.037","DEFB108 vs DEFB4",,"0.401","0.636","-0.235","DEFB108 vs DEFB4"
"0.557","0.396","0.161","DEFB108 vs DEFB103",,"0.396","0.764","-0.368","DEFB108 vs DEFB103"
"0.443","0.43","0.013","DEFB108 vs DEFB104",,"0.443","0.768","-0.325","DEFB108 vs DEFB104"
"0.504","0.67","-0.166","DEFB108 vs DEFB106",,"0.315","0.404","-0.089","DEFB108 vs DEFB106"
"0.531","0.466","0.065","DEFB108 vs DEFB105",,"0.416","0.84","-0.424","DEFB108 vs DEFB105"
"0.514","0.698","-0.184","DEFB108 vs DEFB109",,,,"0","DEFB108 vs DEFB109"
"0.569","0.42","0.149","DEFB107 vs DEFB1",,"0.505","0.578","-0.073","DEFB107 vs DEFB4"
"0.52","0.443","0.077","DEFB107 vs DEFB4",,"0.469","1","-0.531","DEFB107 vs DEFB1"
"0.56","0.266","0.294","DEFB107 vs DEFB103",,"0.443","0.683","-0.24","DEFB107 vs DEFB103"
"0.537","0.51","0.027","DEFB107 vs DEFB104",,"0.358","0.711","-0.353","DEFB107 vs DEFB104"
"0.516","0.513","0.003","DEFB107 vs DEFB106",,"0.277","0.842","-0.565","DEFB107 vs DEFB106"
"0.547","0.667","-0.12","DEFB107 vs DEFB105",,"0.376","0.509","-0.133","DEFB107 vs DEFB105"
"0.509","0.472","0.037","DEFB107 vs DEFB109",,"0.517","0.545","-0.028","DEFB107 vs DEFB109"
"0.41","0.656","-0.246","DEFB107 vs DEFB108",,"0.422","0.792","-0.37","DEFB107 vs DEFB108"
"0.063","0","0.063","pca_Defb1 vs DEFB1",,"0","0","0","pca_Defb1 vs DEFB4"
"0.391","0.235","0.156","pca_Defb1 vs DEFB4",,"0.323","0.818","-0.495","pca_Defb1 vs DEFB1"
"0.534","0.41","0.124","pca_Defb1 vs DEFB103",,"0.306","0.682","-0.376","pca_Defb1 vs DEFB103"
"0.737","0.357","0.38","pca_Defb1 vs DEFB104",,"0.588","0.939","-0.351","pca_Defb1 vs DEFB104"
"0.537","0.57","-0.0329999999999999","pca_Defb1 vs DEFB106",,"0.434","0.508","-0.074","pca_Defb1 vs DEFB106"
"0.538","0.626","-0.088","pca_Defb1 vs DEFB105",,"0.424","0.738","-0.314","pca_Defb1 vs DEFB105"
"0.554","0.579","-0.0249999999999999","pca_Defb1 vs DEFB109",,"0.453","0.632","-0.179","pca_Defb1 vs DEFB109"
"0.602","0.383","0.219","pca_Defb1 vs DEFB108",,"0.466","0.61","-0.144","pca_Defb1 vs DEFB108"
"0.581","0.441","0.14","pca_Defb1 vs DEFB107",,"0.505","0.578","-0.073","pca_Defb1 vs DEFB107"
"0.466","0.375","0.091","pca_Defb4 vs DEFB1",,"0.303","0.609","-0.306","pca_Defb103 vs DEFB1"
"0.17","0.211","-0.041","pca_Defb4 vs DEFB4",,"0.211","0.625","-0.414","pca_Defb103 vs DEFB4"
"0.447","0.421","0.026","pca_Defb4 vs DEFB103",,"0","0.1","-0.1","pca_Defb103 vs DEFB103"
"0.578","0.57","0.00800000000000001","pca_Defb4 vs DEFB104",,"0.455","0.8","-0.345","pca_Defb103 vs DEFB104"
"0.564","0.44","0.124","pca_Defb4 vs DEFB106",,"0.323","0.579","-0.256","pca_Defb103 vs DEFB106"
"0.58","0.509","0.071","pca_Defb4 vs DEFB105",,"0.35","0.273","0.077","pca_Defb103 vs DEFB105"
"0.629","0.382","0.247","pca_Defb4 vs DEFB109",,"0.345","0.496","-0.151","pca_Defb103 vs DEFB109"
"0.558","0.512","0.046","pca_Defb4 vs DEFB108",,"0.392","0.679","-0.287","pca_Defb103 vs DEFB108"
"0.487","0.366","0.121","pca_Defb4 vs DEFB107",,"0.469","0.707","-0.238","pca_Defb103 vs DEFB107"
"0.441","0.383","0.058","pca_Defb4 vs pca_Defb1",,"0.303","0.609","-0.306","pca_Defb103 vs pca_Defb1"
"0.485","0.43","0.055","pca_Defb103 vs DEFB1",,"0.552","0.869","-0.317","pca_Defb104 vs DEFB1"
"0.48","0.442","0.038","pca_Defb103 vs DEFB4",,"0.542","0.825","-0.283","pca_Defb104 vs DEFB4"
"0.083","0","0.083","pca_Defb103 vs DEFB103",,"0.474","0.569","-0.095","pca_Defb104 vs DEFB103"
"0.574","0.467","0.107","pca_Defb103 vs DEFB104",,"0.034","0.079","-0.045","pca_Defb104 vs DEFB104"
"0.511","0.585","-0.074","pca_Defb103 vs DEFB106",,"0.466","0.87","-0.404","pca_Defb104 vs DEFB106"
"0.516","0.571","-0.0549999999999999","pca_Defb103 vs DEFB105",,"0.462","0.614","-0.152","pca_Defb104 vs DEFB105"
